backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired
SpatialVLA,Fractal,Foveation,fixed_foveation_keep50,250,16,21,-2.0000,0.5114,-0.4280,-2.8440,1.9440,1.2050,0
SpatialVLA,Fractal,Action repeat,action_repeat2,250,33,33,0.0000,1.0000,0.8280,-2.3200,3.9240,-9.0547,0
SpatialVLA,Fractal,Depth pruning,depth_pruning2,250,17,23,-2.4000,0.4296,1.1640,-1.5760,3.9600,-0.6707,0
SpatialVLA,Fractal,Guarded reuse,guarded_reuse_moderate,250,2,0,0.8000,0.5000,-0.1400,-0.6600,0.2120,-0.2143,0
SpatialVLA,Fractal,Temporal fusion,temporal_fusion_task_aware,250,12,10,0.8000,0.8318,-1.8680,-3.8560,0.1440,-0.6747,0
UniVLA,LIBERO Long,Foveation,fixed_foveation_keep50,100,8,4,4.0000,0.3877,-11.4800,-29.1200,5.8000,-0.4894,0
UniVLA,LIBERO Long,Action repeat,action_repeat2,100,2,61,-59.0000,0.0000,185.1400,161.2700,208.5200,-0.0662,0
UniVLA,LIBERO Long,Depth pruning,depth_pruning2,100,10,7,3.0000,0.6291,2.2500,-18.4000,23.7100,-0.6138,0
UniVLA,LIBERO Long,Guarded reuse,guarded_reuse_aggressive,100,0,0,0.0000,1.0000,0.8700,0.1200,1.8100,-0.4071,0
UniVLA,LIBERO Long,Temporal fusion,temporal_fusion_task_aware,100,7,6,1.0000,1.0000,1.5500,-14.3900,19.8000,1.5130,0
UniVLA,LIBERO Goal,Foveation,fixed_foveation_keep50,100,8,1,7.0000,0.0391,-8.2100,-19.0800,2.0600,-0.4954,0
UniVLA,LIBERO Goal,Action repeat,action_repeat2,100,3,61,-58.0000,0.0000,121.4700,101.8900,140.0200,1.7135,0
UniVLA,LIBERO Goal,Depth pruning,depth_pruning1,100,6,5,1.0000,1.0000,-0.8900,-11.6800,10.1500,-0.2938,0
