backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired,in_table
OpenVLA,WidowX,Depth pruning,depth_pruning4,200,19,31,-6.0000,0.1189,2.8850,-0.6550,6.1900,-0.4759,0,0
OpenVLA,WidowX,Foveation,fixed_foveation_keep20,200,15,57,-21.0000,0.0000,14.3300,9.5500,19.3650,3.3991,0,0
OpenVLA,WidowX,Foveation,fixed_foveation_keep50,200,32,59,-13.5000,0.0061,11.6050,6.2800,16.8700,2.9047,0,1
OpenVLA,WidowX,Guarded reuse,guarded_reuse_aggressive,200,18,23,-2.5000,0.5327,1.7850,-1.4500,4.8400,-0.1848,0,0
OpenVLA,WidowX,Guarded reuse,guarded_reuse_moderate,200,10,14,-2.0000,0.5413,1.2050,-1.6000,4.3250,-0.2052,0,0
OpenVLA,WidowX,Guarded reuse,guarded_reuse_strict,200,12,8,2.0000,0.5034,-1.2250,-4.0500,1.4050,-0.6311,0,1
OpenVLA,WidowX,Temporal fusion,temporal_fusion_conservative_adaptive,200,18,9,4.5000,0.1221,-2.3900,-5.7750,0.8300,-0.5961,0,0
OpenVLA,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,29,34,-2.5000,0.6147,3.9300,0.2200,7.8400,0.7578,0,0
OpenVLA,WidowX,Temporal fusion,temporal_fusion_task_aware,200,41,27,7.0000,0.1143,-0.3800,-4.2000,3.5950,0.5333,0,1
SpatialVLA,WidowX,Action repeat,action_repeat2,200,17,25,-4.0000,0.2800,4.2300,2.0550,6.5850,-7.5148,0,1
SpatialVLA,WidowX,Action repeat,action_repeat4,200,16,48,-16.0000,0.0001,17.2550,13.4700,21.1750,-10.5189,0,0
SpatialVLA,WidowX,Depth pruning,depth_pruning1,200,8,21,-6.5000,0.0241,4.5600,2.3300,7.0800,1.1824,0,1
SpatialVLA,WidowX,Depth pruning,depth_pruning2,200,4,38,-17.0000,0.0000,10.1750,7.1500,13.4650,2.8547,0,0
SpatialVLA,WidowX,Depth pruning,depth_pruning4,200,12,74,-31.0000,0.0000,25.7350,20.4250,31.4000,7.4260,0,0
