backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired,in_table
OpenVLA,LIBERO Long,Action repeat,action_repeat4,100,11,35,-24.0000,0.0005,64.3500,36.1400,93.8600,-43.3038,0,0
OpenVLA,LIBERO Long,Depth pruning,depth_pruning1,100,16,19,-3.0000,0.7359,1.8300,-25.0000,28.0800,-0.9493,0,1
OpenVLA,LIBERO Long,Depth pruning,depth_pruning2,100,10,21,-11.0000,0.0708,9.4900,-15.1700,33.2100,-1.2273,0,0
OpenVLA,LIBERO Long,Depth pruning,depth_pruning4,100,9,39,-30.0000,0.0000,69.9900,40.1100,99.8900,3.9329,0,0
OpenVLA,LIBERO Long,Foveation,fixed_foveation_keep20,100,7,33,-26.0000,0.0000,50.0200,23.0400,76.6500,11.5377,0,0
OpenVLA,LIBERO Long,Foveation,fixed_foveation_keep50,100,8,20,-12.0000,0.0357,13.5200,-11.7800,39.9100,5.1952,0,1
OpenVLA,LIBERO Long,Guarded reuse,guarded_reuse_aggressive,100,12,18,-6.0000,0.3616,2.4900,-22.7200,27.4900,-5.6710,0,0
OpenVLA,LIBERO Long,Guarded reuse,guarded_reuse_moderate,100,9,14,-5.0000,0.4049,-0.1700,-21.9200,22.2100,-3.1193,0,1
OpenVLA,LIBERO Long,Guarded reuse,guarded_reuse_strict,100,8,13,-5.0000,0.3833,1.0800,-18.6300,20.9000,-1.6918,0,0
OpenVLA,LIBERO Long,Temporal fusion,temporal_fusion_motion_entropy,100,9,16,-7.0000,0.2295,13.5500,-11.2000,39.2900,2.8771,0,1
OpenVLA,LIBERO Long,Temporal fusion,temporal_fusion_task_aware,100,10,18,-8.0000,0.1849,12.5400,-13.0300,37.0700,7.9238,0,0
OpenVLA,LIBERO Goal,Action repeat,action_repeat2,100,10,17,-7.0000,0.2478,17.5700,0.3100,35.2100,-10.8883,0,1
OpenVLA,LIBERO Goal,Action repeat,action_repeat4,100,6,21,-15.0000,0.0059,35.1500,18.1600,50.5500,-17.0313,0,0
OpenVLA,LIBERO Goal,Depth pruning,depth_pruning1,100,12,15,-3.0000,0.7011,7.8400,-9.8200,24.6000,0.4545,0,1
OpenVLA,LIBERO Goal,Depth pruning,depth_pruning2,100,6,22,-16.0000,0.0037,27.4800,9.8500,45.0000,3.1627,0,0
OpenVLA,LIBERO Goal,Depth pruning,depth_pruning4,100,4,38,-34.0000,0.0000,60.8000,41.8300,80.0400,6.8628,0,0
OpenVLA,LIBERO Goal,Foveation,fixed_foveation_keep20,100,13,24,-11.0000,0.0989,23.3300,3.6900,42.4800,4.7530,0,0
OpenVLA,LIBERO Goal,Foveation,fixed_foveation_keep50,100,10,10,0.0000,1.0000,-0.3000,-15.3900,13.9800,0.7686,0,1
OpenVLA,LIBERO Goal,Guarded reuse,guarded_reuse_aggressive,100,8,11,-3.0000,0.6476,6.2900,-6.7900,21.1800,-1.8851,0,1
OpenVLA,LIBERO Goal,Guarded reuse,guarded_reuse_moderate,100,4,10,-6.0000,0.1796,7.6500,-4.2300,19.7400,-0.0730,0,0
OpenVLA,LIBERO Goal,Guarded reuse,guarded_reuse_strict,100,2,6,-4.0000,0.2891,7.1600,-0.6800,15.7200,-0.0753,0,0
OpenVLA,LIBERO Goal,Temporal fusion,temporal_fusion_conservative_adaptive,100,5,3,2.0000,0.7266,1.0700,-7.9200,10.7800,0.2081,0,1
OpenVLA,LIBERO Goal,Temporal fusion,temporal_fusion_motion_entropy,100,7,8,-1.0000,1.0000,1.9800,-10.7100,15.3100,0.5096,0,0
OpenVLA,LIBERO Goal,Temporal fusion,temporal_fusion_task_aware,100,10,12,-2.0000,0.8318,4.3700,-11.1200,20.9600,2.7506,0,0
OpenVLA,LIBERO Object,Action repeat,action_repeat2,100,10,13,-3.0000,0.6776,8.0700,-4.2500,20.2900,-12.5326,0,1
OpenVLA,LIBERO Object,Action repeat,action_repeat4,100,6,34,-28.0000,0.0000,46.1200,30.8500,61.6100,-17.3228,0,0
OpenVLA,LIBERO Object,Depth pruning,depth_pruning1,100,10,12,-2.0000,0.8318,4.1400,-9.4000,18.5900,-0.2137,0,1
OpenVLA,LIBERO Object,Depth pruning,depth_pruning2,100,8,16,-8.0000,0.1516,14.3200,1.7400,27.1900,0.7557,0,0
OpenVLA,LIBERO Object,Depth pruning,depth_pruning4,100,7,29,-22.0000,0.0003,37.1000,22.1200,51.8200,2.8514,0,0
OpenVLA,LIBERO Object,Foveation,fixed_foveation_keep20,100,8,21,-13.0000,0.0241,14.2300,-0.9700,28.6100,3.5701,0,0
OpenVLA,LIBERO Object,Foveation,fixed_foveation_keep50,100,10,11,-1.0000,1.0000,0.2900,-13.8200,14.5900,1.0904,0,1
OpenVLA,LIBERO Object,Guarded reuse,guarded_reuse_aggressive,100,6,8,-2.0000,0.7905,1.2100,-9.5800,12.7800,-2.3442,0,0
OpenVLA,LIBERO Object,Guarded reuse,guarded_reuse_moderate,100,4,11,-7.0000,0.1185,5.3400,-5.2000,17.0400,-0.7501,0,0
OpenVLA,LIBERO Object,Guarded reuse,guarded_reuse_strict,100,4,6,-2.0000,0.7539,-0.4800,-10.1100,9.5300,-0.8368,0,1
OpenVLA,LIBERO Object,Temporal fusion,temporal_fusion_conservative_adaptive,100,2,7,-5.0000,0.1797,5.8700,-0.6000,12.9600,1.1037,0,0
OpenVLA,LIBERO Object,Temporal fusion,temporal_fusion_motion_entropy,100,7,11,-4.0000,0.4807,1.1200,-10.4400,12.4400,-0.0615,0,0
OpenVLA,LIBERO Object,Temporal fusion,temporal_fusion_task_aware,100,9,10,-1.0000,1.0000,0.0200,-11.6900,11.8700,1.9585,0,1
OpenVLA,LIBERO Spatial,Action repeat,action_repeat2,100,8,14,-6.0000,0.2863,8.1400,-1.2100,17.7300,-9.8665,0,1
OpenVLA,LIBERO Spatial,Action repeat,action_repeat4,100,7,38,-31.0000,0.0000,42.3300,30.8700,54.5400,-13.4301,0,0
OpenVLA,LIBERO Spatial,Depth pruning,depth_pruning1,100,10,26,-16.0000,0.0113,16.0700,3.2500,27.7500,2.0190,0,1
OpenVLA,LIBERO Spatial,Depth pruning,depth_pruning2,100,9,31,-22.0000,0.0007,24.4900,11.5800,36.8400,3.0129,0,0
OpenVLA,LIBERO Spatial,Depth pruning,depth_pruning4,100,7,37,-30.0000,0.0000,38.1200,25.5600,50.3200,3.4200,0,0
OpenVLA,LIBERO Spatial,Foveation,fixed_foveation_keep20,100,9,32,-23.0000,0.0004,26.7500,13.4300,39.9200,5.7439,0,0
OpenVLA,LIBERO Spatial,Foveation,fixed_foveation_keep50,100,14,9,5.0000,0.4049,-4.5100,-14.2800,5.7200,-0.0289,0,1
OpenVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_aggressive,100,10,11,-1.0000,1.0000,3.7100,-5.8600,12.9400,-1.2603,0,0
OpenVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_moderate,100,6,8,-2.0000,0.7905,1.9300,-5.4400,9.2600,-0.4625,0,0
OpenVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_strict,100,5,1,4.0000,0.2188,-4.3200,-9.6600,0.3500,-1.2352,0,1
OpenVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_conservative_adaptive,100,5,4,1.0000,1.0000,-0.5200,-7.0200,5.4200,-0.0721,0,0
OpenVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_motion_entropy,100,12,5,7.0000,0.1435,-8.1900,-16.8600,0.5900,-1.5034,0,1
OpenVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_task_aware,100,12,13,-1.0000,1.0000,3.7500,-7.0600,14.2500,2.3727,0,0
SmolVLA,LIBERO Long,Action repeat,action_repeat2,100,9,20,-11.0000,0.0614,15.1000,-9.5800,40.2700,-56.5326,0,1
SmolVLA,LIBERO Long,Action repeat,action_repeat4,100,5,27,-22.0000,0.0001,41.8700,16.4500,67.0900,-86.1151,0,0
SmolVLA,LIBERO Long,Depth pruning,depth_pruning1,100,1,34,-33.0000,0.0000,71.7200,47.7600,96.0100,21.8131,0,1
SmolVLA,LIBERO Long,Depth pruning,depth_pruning2,100,1,40,-39.0000,0.0000,86.7300,63.0000,111.5400,24.0559,0,0
SmolVLA,LIBERO Long,Depth pruning,depth_pruning4,100,0,42,-42.0000,0.0000,91.6500,68.2300,116.5100,10.6512,0,0
SmolVLA,LIBERO Long,Foveation,fixed_foveation_keep20,100,3,26,-23.0000,0.0000,53.1400,30.8200,75.5700,23.1396,0,0
SmolVLA,LIBERO Long,Foveation,fixed_foveation_keep50,100,6,27,-21.0000,0.0003,49.4900,26.4600,74.9700,22.4514,0,1
SmolVLA,LIBERO Long,Guarded reuse,guarded_reuse_aggressive,100,16,11,5.0000,0.4421,-9.0100,-33.1700,15.5700,-3.6881,0,1
SmolVLA,LIBERO Long,Guarded reuse,guarded_reuse_moderate,100,11,16,-5.0000,0.4421,9.4900,-15.7500,34.8000,-7.2452,0,0
SmolVLA,LIBERO Long,Guarded reuse,guarded_reuse_strict,100,13,15,-2.0000,0.8506,-1.9000,-28.3600,24.5700,-2.1495,0,0
SmolVLA,LIBERO Long,Temporal fusion,temporal_fusion_conservative_adaptive,100,14,12,2.0000,0.8450,-13.4200,-39.7000,13.4000,-10.9073,0,1
SmolVLA,LIBERO Long,Temporal fusion,temporal_fusion_motion_entropy,100,13,11,2.0000,0.8388,-12.9000,-38.1600,12.1400,-8.3521,0,0
SmolVLA,LIBERO Long,Temporal fusion,temporal_fusion_task_aware,100,13,14,-1.0000,1.0000,-5.5700,-30.6800,18.8700,-9.1419,0,0
SmolVLA,LIBERO Goal,Action repeat,action_repeat2,100,7,15,-8.0000,0.1338,16.5600,1.5300,32.2600,-18.3372,0,1
SmolVLA,LIBERO Goal,Action repeat,action_repeat4,100,6,27,-21.0000,0.0003,49.6600,31.7500,66.3000,-27.1697,0,0
SmolVLA,LIBERO Goal,Depth pruning,depth_pruning1,100,6,24,-18.0000,0.0014,39.3700,22.4300,56.1400,11.2381,0,1
SmolVLA,LIBERO Goal,Depth pruning,depth_pruning2,100,5,32,-27.0000,0.0000,62.7700,44.6400,80.8000,16.6437,0,0
SmolVLA,LIBERO Goal,Depth pruning,depth_pruning4,100,2,54,-52.0000,0.0000,113.3300,95.9800,129.9900,24.9392,0,0
SmolVLA,LIBERO Goal,Foveation,fixed_foveation_keep20,100,7,29,-22.0000,0.0003,39.0600,18.7700,57.2600,13.8588,0,0
SmolVLA,LIBERO Goal,Foveation,fixed_foveation_keep50,100,6,19,-13.0000,0.0146,20.8500,2.8200,38.9400,7.5856,0,1
SmolVLA,LIBERO Goal,Guarded reuse,guarded_reuse_aggressive,100,12,15,-3.0000,0.7011,4.1200,-14.4200,21.9200,-4.8884,0,1
SmolVLA,LIBERO Goal,Guarded reuse,guarded_reuse_moderate,100,12,17,-5.0000,0.4583,7.7000,-11.5800,26.0600,-0.7843,0,0
SmolVLA,LIBERO Goal,Guarded reuse,guarded_reuse_strict,100,12,16,-4.0000,0.5716,5.9800,-11.9300,24.3200,-0.7731,0,0
SmolVLA,LIBERO Goal,Temporal fusion,temporal_fusion_conservative_adaptive,100,13,16,-3.0000,0.7111,3.6800,-14.9700,21.6400,-0.8767,0,0
SmolVLA,LIBERO Goal,Temporal fusion,temporal_fusion_motion_entropy,100,12,15,-3.0000,0.7011,2.9500,-15.1800,20.1500,-1.5527,0,1
SmolVLA,LIBERO Goal,Temporal fusion,temporal_fusion_task_aware,100,11,17,-6.0000,0.3449,11.1600,-7.1500,29.0600,-0.4035,0,0
SmolVLA,LIBERO Object,Action repeat,action_repeat2,100,5,9,-4.0000,0.4240,6.7700,-3.3200,17.0700,-21.8074,0,1
SmolVLA,LIBERO Object,Action repeat,action_repeat4,100,1,24,-23.0000,0.0000,39.7700,27.6900,52.5300,-30.6207,0,0
SmolVLA,LIBERO Object,Depth pruning,depth_pruning1,100,4,25,-21.0000,0.0001,31.1000,18.6000,43.3600,9.8084,0,1
SmolVLA,LIBERO Object,Depth pruning,depth_pruning2,100,2,56,-54.0000,0.0000,71.5900,58.1000,84.6900,20.6694,0,0
SmolVLA,LIBERO Object,Depth pruning,depth_pruning4,100,0,81,-81.0000,0.0000,103.8000,94.1000,113.6100,17.2658,0,0
SmolVLA,LIBERO Object,Foveation,fixed_foveation_keep20,100,5,25,-20.0000,0.0003,27.0300,14.4900,40.7100,10.9375,0,0
SmolVLA,LIBERO Object,Foveation,fixed_foveation_keep50,100,2,15,-13.0000,0.0023,14.1400,3.0500,25.1800,7.3347,0,1
SmolVLA,LIBERO Object,Guarded reuse,guarded_reuse_aggressive,100,5,8,-3.0000,0.5811,0.1600,-10.3900,11.1200,-3.0822,0,1
SmolVLA,LIBERO Object,Guarded reuse,guarded_reuse_moderate,100,4,9,-5.0000,0.2668,2.0200,-8.1400,12.9200,-3.0330,0,0
SmolVLA,LIBERO Object,Guarded reuse,guarded_reuse_strict,100,4,8,-4.0000,0.3877,1.8100,-8.3000,12.1300,-1.2543,0,0
SmolVLA,LIBERO Object,Temporal fusion,temporal_fusion_conservative_adaptive,100,4,12,-8.0000,0.0768,6.6900,-4.3000,18.0700,3.3455,0,0
SmolVLA,LIBERO Object,Temporal fusion,temporal_fusion_motion_entropy,100,5,9,-4.0000,0.4240,1.0700,-9.8600,12.3500,4.0723,0,0
SmolVLA,LIBERO Object,Temporal fusion,temporal_fusion_task_aware,100,5,9,-4.0000,0.4240,0.2600,-10.0700,10.7400,-1.9425,0,1
SmolVLA,LIBERO Spatial,Action repeat,action_repeat2,100,13,25,-12.0000,0.0730,15.2600,1.1900,28.4100,-15.4807,0,1
SmolVLA,LIBERO Spatial,Action repeat,action_repeat4,100,7,48,-41.0000,0.0000,56.8100,43.4700,70.2500,-22.2769,0,0
SmolVLA,LIBERO Spatial,Depth pruning,depth_pruning1,100,12,26,-14.0000,0.0336,18.5200,5.1000,31.6800,5.9893,0,1
SmolVLA,LIBERO Spatial,Depth pruning,depth_pruning2,100,10,48,-38.0000,0.0000,44.8400,29.8700,58.8000,14.2548,0,0
SmolVLA,LIBERO Spatial,Depth pruning,depth_pruning4,100,6,53,-47.0000,0.0000,55.6300,41.8600,68.6500,16.7533,0,0
SmolVLA,LIBERO Spatial,Foveation,fixed_foveation_keep20,100,13,26,-13.0000,0.0533,16.3900,2.8700,29.4600,7.1165,0,0
SmolVLA,LIBERO Spatial,Foveation,fixed_foveation_keep50,100,12,12,0.0000,1.0000,3.0000,-8.2200,14.0800,3.8041,0,1
SmolVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_aggressive,100,12,10,2.0000,0.8318,-2.2800,-13.1300,8.2200,0.0017,0,0
SmolVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_moderate,100,13,10,3.0000,0.6776,-3.3300,-14.0900,7.2400,0.1408,0,0
SmolVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_strict,100,12,9,3.0000,0.6636,-3.7200,-14.2400,6.6600,0.2567,0,1
SmolVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_conservative_adaptive,100,13,7,6.0000,0.2632,-7.2100,-17.3700,2.5200,-0.8329,0,1
SmolVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_motion_entropy,100,14,10,4.0000,0.5413,-3.7500,-15.2300,7.2700,-1.4025,0,0
SmolVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_task_aware,100,13,9,4.0000,0.5235,-4.2000,-14.7100,6.1100,-3.3523,0,0
