model,config,n,successes,success,steps,episode_s,step_ms,calls,query_ms,complete
cronusvla_simplerenv_fractal,fixed_foveation_keep20,250,136,54.4,51.368,9.158849387134426,178.29873437031665,51.368,nan,True
cronusvla_simplerenv_fractal,fixed_foveation_keep50,250,142,56.8,50.096,9.017108520665671,179.99657698550126,50.096,nan,True
cronusvla_simplerenv_fractal,guarded_reuse_aggressive,250,142,56.8,50.732,7.627688303438015,150.35260394697656,48.592,nan,True
cronusvla_simplerenv_fractal,guarded_reuse_moderate,250,137,54.8,51.872,7.934391401273198,152.9609693336135,50.988,nan,True
cronusvla_simplerenv_fractal,guarded_reuse_strict,250,136,54.4,51.928,7.951535101743415,153.1261574053192,51.572,nan,True
cronusvla_simplerenv_fractal,original,250,139,55.6,51.336,7.96347189439414,155.1245109551609,51.336,nan,True
cronusvla_simplerenv_fractal,temporal_fusion_conservative_adaptive,250,143,57.2,50.536,7.919859638250899,156.7171845466776,50.536,nan,True
cronusvla_simplerenv_fractal,temporal_fusion_motion_entropy,250,143,57.2,50.536,7.92869027073076,156.89192398944832,50.536,nan,True
cronusvla_simplerenv_fractal,temporal_fusion_task_aware,250,143,57.2,50.536,7.9015319404420445,156.3545183718942,50.536,nan,True
minivla_simplerenv,action_repeat2,200,60,30.0,66.94,6.63571937989851,99.12936032116089,33.545,98.00106431551299,True
minivla_simplerenv,action_repeat4,200,58,29.0,66.915,4.956035641364142,74.06464382222434,16.83,98.56058537079294,True
minivla_simplerenv,depth_pruning1,200,37,18.5,67.435,9.842238742049231,145.951490206113,67.435,95.82959349776488,True
minivla_simplerenv,depth_pruning2,200,0,0.0,75.0,10.343772069254774,137.91696092339697,75.0,91.8457490540711,True
minivla_simplerenv,depth_pruning4,200,0,0.0,75.0,9.843157677797862,131.24210237063818,75.0,85.52290744079704,True
minivla_simplerenv,fixed_foveation_keep20,200,56,28.0,63.365,10.152458043094812,160.22185817241083,63.365,103.55993934601095,True
minivla_simplerenv,fixed_foveation_keep50,200,70,35.0,62.91,9.83855332516745,156.39092871033938,62.91,98.54296928202507,True
minivla_simplerenv,guarded_reuse_aggressive,200,67,33.5,65.37,9.468221214549994,144.8404652677068,62.73,97.81584938015438,True
minivla_simplerenv,guarded_reuse_moderate,200,72,36.0,64.04,9.37004625739035,146.31552556824406,61.325,99.49526950110028,True
minivla_simplerenv,guarded_reuse_strict,200,77,38.5,62.65,9.117289300425035,145.52736313527592,60.69,97.38878122551152,True
minivla_simplerenv,original,200,72,36.0,63.84,9.541708303380437,149.46284936372865,63.84,97.84639455428851,True
minivla_simplerenv,temporal_fusion_conservative_adaptive,200,77,38.5,63.09,9.375054583184864,148.5981071989993,63.09,97.69986605903888,True
minivla_simplerenv,temporal_fusion_motion_entropy,200,78,39.0,61.165,9.167024273881397,149.8736904092438,61.165,98.77270679511902,True
minivla_simplerenv,temporal_fusion_task_aware,200,71,35.5,63.64,10.30910820229823,161.99101512096527,63.64,110.47549870729952,True
openvla_libero,action_repeat2,400,270,67.5,224.66,21.373985457313534,95.13925690961246,112.5,158.07176242742636,True
openvla_libero,action_repeat4,400,198,49.5,260.5325,14.451556544085616,55.469304382699335,65.3075,158.00639213032537,True
openvla_libero,depth_pruning1,400,272,68.0,221.015,37.551166015592756,169.90324645654255,221.015,153.2436053342954,True
