backbone,env,configuration,family,episodes,successes,success_pct,avg_steps,avg_policy_calls,avg_reuses,avg_episode_s,latency_ms_per_step,policy_query_latency_mean_ms,inference_cycle_mean_ms,delta_success_vs_original,delta_latency_ms_vs_original,delta_avg_steps_vs_original,win,loss,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,in_table,results_folder
CogACT,Fractal,temporal_fusion_motion_entropy,Temporal fusion,250,162,64.80,44.67,44.67,0.00,7.881,176.43,104.79,,-2.00,7.44,-0.10,4,9,0.266846,-0.10,-1.68,1.44,0.31,0,cogact_base_simplerenv_fractal/temporal_fusion_motion_entropy
CogACT,Fractal,temporal_fusion_task_aware,Temporal fusion,250,162,64.80,44.67,44.67,0.00,7.642,171.07,100.26,,-2.00,2.07,-0.10,4,9,0.266846,-0.10,-1.68,1.44,0.08,0,cogact_base_simplerenv_fractal/temporal_fusion_task_aware
CogACT,Fractal,temporal_fusion_conservative_adaptive,Temporal fusion,250,164,65.60,44.54,44.54,0.00,7.629,171.28,100.69,,-1.20,2.29,-0.23,1,4,0.375000,-0.23,-1.14,0.57,0.06,1,cogact_base_simplerenv_fractal/temporal_fusion_conservative_adaptive
OpenVLA,Fractal,original,Original,250,89,35.60,64.31,64.31,0.00,15.416,239.71,160.43,168.12,0.00,0.00,0.00,,,,,,,,1,openvla_simplerenv_fractal/original
OpenVLA,Fractal,fixed_foveation_keep20,Foveation,250,19,7.60,76.30,76.30,0.00,18.994,248.95,168.06,182.15,-28.00,9.24,11.98,8,78,0.000000,11.98,9.12,14.94,3.58,0,openvla_simplerenv_fractal/fixed_foveation_keep20
OpenVLA,Fractal,fixed_foveation_keep50,Foveation,250,61,24.40,68.24,68.24,0.00,17.022,249.45,164.76,179.23,-11.20,9.75,3.92,22,50,0.001294,3.92,0.53,7.14,1.61,1,openvla_simplerenv_fractal/fixed_foveation_keep50
OpenVLA,Fractal,action_repeat2,Action repeat,250,100,40.00,62.91,31.56,31.36,10.005,159.04,160.03,87.91,4.40,-80.67,-1.40,38,27,0.214539,-1.40,-4.18,1.51,-5.41,1,openvla_simplerenv_fractal/action_repeat2
OpenVLA,Fractal,action_repeat4,Action repeat,250,89,35.60,67.02,16.90,50.12,7.973,118.97,161.25,48.29,0.00,-120.73,2.71,34,34,1.000000,2.71,-0.05,5.49,-7.44,0,openvla_simplerenv_fractal/action_repeat4
OpenVLA,Fractal,depth_pruning1,Depth pruning,250,96,38.40,62.84,62.84,0.00,14.863,236.54,156.02,163.68,2.80,-3.16,-1.48,33,26,0.434993,-1.48,-4.10,1.16,-0.55,0,openvla_simplerenv_fractal/depth_pruning1
OpenVLA,Fractal,depth_pruning2,Depth pruning,250,102,40.80,61.86,61.86,0.00,14.269,230.68,150.84,158.49,5.20,-9.03,-2.46,37,24,0.123731,-2.46,-5.32,0.28,-1.15,1,openvla_simplerenv_fractal/depth_pruning2
OpenVLA,Fractal,depth_pruning4,Depth pruning,250,92,36.80,62.80,62.80,0.00,14.019,223.24,142.77,150.44,1.20,-16.47,-1.51,38,35,0.815121,-1.51,-4.50,1.39,-1.40,0,openvla_simplerenv_fractal/depth_pruning4
OpenVLA,Fractal,guarded_reuse_strict,Guarded reuse,250,90,36.00,64.29,62.83,1.46,15.155,235.72,159.67,164.92,0.40,-3.98,-0.02,1,0,1.000000,-0.02,-0.23,0.11,-0.26,0,openvla_simplerenv_fractal/guarded_reuse_strict
OpenVLA,Fractal,guarded_reuse_moderate,Guarded reuse,250,91,36.40,64.20,62.59,1.60,15.191,236.64,160.44,165.41,0.80,-3.06,-0.12,2,0,0.500000,-0.12,-0.40,0.09,-0.22,1,openvla_simplerenv_fractal/guarded_reuse_moderate
OpenVLA,Fractal,guarded_reuse_aggressive,Guarded reuse,250,88,35.20,64.25,61.76,2.49,15.078,234.69,160.70,164.21,-0.40,-5.02,-0.06,2,3,1.000000,-0.06,-0.58,0.40,-0.34,0,openvla_simplerenv_fractal/guarded_reuse_aggressive
OpenVLA,Fractal,temporal_fusion_motion_entropy,Temporal fusion,250,105,42.00,62.03,62.03,0.00,15.051,242.64,161.47,169.72,6.40,2.94,-2.28,39,23,0.055897,-2.28,-4.85,0.30,-0.37,0,openvla_simplerenv_fractal/temporal_fusion_motion_entropy
OpenVLA,Fractal,temporal_fusion_task_aware,Temporal fusion,250,106,42.40,61.44,61.44,0.00,15.605,254.00,173.62,181.88,6.80,14.29,-2.88,29,12,0.011508,-2.88,-5.24,-0.58,0.19,1,openvla_simplerenv_fractal/temporal_fusion_task_aware
OpenVLA,Fractal,temporal_fusion_conservative_adaptive,Temporal fusion,250,92,36.80,63.27,63.27,0.00,15.201,240.26,160.13,168.28,1.20,0.55,-1.04,7,4,0.548828,-1.04,-2.24,0.01,-0.21,0,openvla_simplerenv_fractal/temporal_fusion_conservative_adaptive
SpatialVLA,Fractal,original,Original,250,148,59.20,49.58,49.58,0.00,22.307,449.95,378.71,449.95,0.00,0.00,0.00,,,,,,,,1,spatialvla_simplerenv_fractal/original
SpatialVLA,Fractal,fixed_foveation_keep20,Foveation,250,138,55.20,48.75,48.75,0.00,23.155,474.99,380.28,474.98,-4.00,25.04,-0.83,17,27,0.174171,-0.83,-3.61,1.88,0.85,0,spatialvla_simplerenv_fractal/fixed_foveation_keep20
SpatialVLA,Fractal,fixed_foveation_keep50,Foveation,250,143,57.20,49.15,49.15,0.00,23.512,478.39,380.59,478.38,-2.00,28.44,-0.43,16,21,0.511376,-0.43,-2.84,1.94,1.21,1,spatialvla_simplerenv_fractal/fixed_foveation_keep50
SpatialVLA,Fractal,action_repeat2,Action repeat,250,148,59.20,50.40,25.34,0.00,13.252,262.92,379.35,522.97,0.00,-187.03,0.83,33,33,1.000000,0.83,-2.32,3.92,-9.05,1,spatialvla_simplerenv_fractal/action_repeat2
SpatialVLA,Fractal,action_repeat4,Action repeat,250,74,29.60,65.88,16.60,0.00,10.935,165.99,378.00,658.76,-29.60,-283.96,16.30,19,93,0.000000,16.30,12.58,20.28,-11.37,0,spatialvla_simplerenv_fractal/action_repeat4
SpatialVLA,Fractal,depth_pruning1,Depth pruning,250,135,54.00,50.64,50.64,0.00,22.028,435.02,364.63,435.02,-5.20,-14.93,1.06,12,25,0.047031,1.06,-1.32,3.49,-0.28,0,spatialvla_simplerenv_fractal/depth_pruning1
SpatialVLA,Fractal,depth_pruning2,Depth pruning,250,142,56.80,50.74,50.74,0.00,21.636,426.41,355.48,426.41,-2.40,-23.54,1.16,17,23,0.429591,1.16,-1.58,3.96,-0.67,1,spatialvla_simplerenv_fractal/depth_pruning2
SpatialVLA,Fractal,depth_pruning4,Depth pruning,250,108,43.20,55.35,55.35,0.00,22.089,399.09,328.64,399.08,-16.00,-50.86,5.77,7,47,0.000000,5.77,2.98,8.56,-0.22,0,spatialvla_simplerenv_fractal/depth_pruning4
SpatialVLA,Fractal,guarded_reuse_strict,Guarded reuse,250,148,59.20,49.61,49.36,0.26,22.157,446.61,377.56,446.94,0.00,-3.34,0.04,0,0,1.000000,0.04,-0.00,0.09,-0.15,0,spatialvla_simplerenv_fractal/guarded_reuse_strict
SpatialVLA,Fractal,guarded_reuse_moderate,Guarded reuse,250,150,60.00,49.44,49.02,0.41,22.092,446.89,378.82,447.17,0.80,-3.06,-0.14,2,0,0.500000,-0.14,-0.66,0.21,-0.21,1,spatialvla_simplerenv_fractal/guarded_reuse_moderate
SpatialVLA,Fractal,guarded_reuse_aggressive,Guarded reuse,250,147,58.80,49.93,48.73,1.20,22.021,441.01,379.02,441.81,-0.40,-8.94,0.36,3,4,1.000000,0.36,-0.31,1.00,-0.29,0,spatialvla_simplerenv_fractal/guarded_reuse_aggressive
SpatialVLA,Fractal,temporal_fusion_motion_entropy,Temporal fusion,250,145,58.00,49.42,49.42,0.00,22.310,451.48,380.74,451.47,-1.20,1.53,-0.16,17,20,0.742829,-0.16,-2.38,2.14,0.00,0,spatialvla_simplerenv_fractal/temporal_fusion_motion_entropy
SpatialVLA,Fractal,temporal_fusion_task_aware,Temporal fusion,250,150,60.00,47.71,47.71,0.00,21.632,453.43,382.19,453.42,0.80,3.48,-1.87,12,10,0.831812,-1.87,-3.86,0.14,-0.67,1,spatialvla_simplerenv_fractal/temporal_fusion_task_aware
SpatialVLA,Fractal,temporal_fusion_conservative_adaptive,Temporal fusion,250,148,59.20,49.66,49.66,0.00,22.471,452.51,380.53,452.50,0.00,2.56,0.08,0,0,1.000000,0.08,-0.06,0.28,0.16,0,spatialvla_simplerenv_fractal/temporal_fusion_conservative_adaptive
CronusVLA,Fractal,original,Original,250,139,55.60,51.34,51.34,0.00,7.963,155.12,,,0.00,0.00,0.00,,,,,,,,1,cronusvla_simplerenv_fractal/original
CronusVLA,Fractal,fixed_foveation_keep20,Foveation,250,136,54.40,51.37,51.37,0.00,9.159,178.30,,,-1.20,23.17,0.03,9,12,0.663624,0.03,-1.87,1.98,1.20,0,cronusvla_simplerenv_fractal/fixed_foveation_keep20
CronusVLA,Fractal,fixed_foveation_keep50,Foveation,250,142,56.80,50.10,50.10,0.00,9.017,180.00,,,1.20,24.87,-1.24,12,9,0.663624,-1.24,-3.20,0.60,1.05,1,cronusvla_simplerenv_fractal/fixed_foveation_keep50
CronusVLA,Fractal,action_repeat2,Action repeat,250,146,58.40,57.43,28.84,28.59,6.453,112.37,,,2.80,-42.75,6.09,15,8,0.210040,6.09,3.79,8.66,-1.51,1,cronusvla_simplerenv_fractal/action_repeat2
CronusVLA,Fractal,action_repeat4,Action repeat,250,115,46.00,74.13,18.60,55.54,6.663,89.87,,,-9.60,-65.25,22.80,6,30,0.000070,22.80,19.56,26.24,-1.30,0,cronusvla_simplerenv_fractal/action_repeat4
CronusVLA,Fractal,depth_pruning1,Depth pruning,250,141,56.40,50.17,50.17,0.00,7.667,152.82,,,0.80,-2.31,-1.17,9,7,0.803619,-1.17,-2.89,0.48,-0.30,1,cronusvla_simplerenv_fractal/depth_pruning1
CronusVLA,Fractal,depth_pruning2,Depth pruning,250,129,51.60,53.39,53.39,0.00,7.987,149.59,,,-4.00,-5.53,2.06,4,14,0.030884,2.06,0.33,3.78,0.02,0,cronusvla_simplerenv_fractal/depth_pruning2
CronusVLA,Fractal,depth_pruning4,Depth pruning,250,128,51.20,53.98,53.98,0.00,7.778,144.08,,,-4.40,-11.04,2.64,4,15,0.019211,2.64,0.92,4.38,-0.19,0,cronusvla_simplerenv_fractal/depth_pruning4
CronusVLA,Fractal,guarded_reuse_strict,Guarded reuse,250,136,54.40,51.93,51.57,0.36,7.952,153.13,,,-1.20,-2.00,0.59,6,9,0.607239,0.59,-1.18,2.32,-0.01,0,cronusvla_simplerenv_fractal/guarded_reuse_strict
CronusVLA,Fractal,guarded_reuse_moderate,Guarded reuse,250,137,54.80,51.87,50.99,0.88,7.934,152.96,,,-0.80,-2.16,0.54,4,6,0.753906,0.54,-1.04,2.09,-0.03,0,cronusvla_simplerenv_fractal/guarded_reuse_moderate
CronusVLA,Fractal,guarded_reuse_aggressive,Guarded reuse,250,142,56.80,50.73,48.59,2.14,7.628,150.35,,,1.20,-4.77,-0.60,9,6,0.607239,-0.60,-2.21,0.95,-0.34,1,cronusvla_simplerenv_fractal/guarded_reuse_aggressive
CronusVLA,Fractal,temporal_fusion_motion_entropy,Temporal fusion,250,143,57.20,50.54,50.54,0.00,7.929,156.89,,,1.60,1.77,-0.80,9,5,0.423950,-0.80,-2.29,0.62,-0.03,1,cronusvla_simplerenv_fractal/temporal_fusion_motion_entropy
CronusVLA,Fractal,temporal_fusion_task_aware,Temporal fusion,250,143,57.20,50.54,50.54,0.00,7.902,156.35,,,1.60,1.23,-0.80,9,5,0.423950,-0.80,-2.29,0.62,-0.06,0,cronusvla_simplerenv_fractal/temporal_fusion_task_aware
CronusVLA,Fractal,temporal_fusion_conservative_adaptive,Temporal fusion,250,143,57.20,50.54,50.54,0.00,7.920,156.72,,,1.60,1.59,-0.80,9,5,0.423950,-0.80,-2.29,0.62,-0.04,0,cronusvla_simplerenv_fractal/temporal_fusion_conservative_adaptive
OpenVLA,LIBERO Long,original,Original,100,56,56.00,396.79,396.79,0.00,68.068,171.55,156.33,158.64,0.00,0.00,0.00,,,,,,,,1,openvla_libero/original/libero_10
OpenVLA,LIBERO Long,fixed_foveation_keep20,Foveation,100,30,30.00,446.81,446.81,0.00,79.606,178.16,157.38,165.32,-26.00,6.62,50.02,7,33,0.000042,50.02,23.04,76.65,11.54,0,openvla_libero/fixed_foveation_keep20/libero_10
OpenVLA,LIBERO Long,fixed_foveation_keep50,Foveation,100,44,44.00,410.31,410.31,0.00,73.263,178.56,157.73,165.83,-12.00,7.01,13.52,8,20,0.035698,13.52,-11.78,39.91,5.20,1,openvla_libero/fixed_foveation_keep50/libero_10
OpenVLA,LIBERO Long,action_repeat2,Action repeat,100,46,46.00,407.47,203.85,203.62,37.957,93.15,157.10,80.85,-10.00,-78.39,10.68,10,20,0.098737,10.68,-14.67,36.66,-30.11,1,openvla_libero/action_repeat2/libero_10
OpenVLA,LIBERO Long,action_repeat4,Action repeat,100,32,32.00,461.14,115.36,345.78,24.764,53.70,157.52,41.64,-24.00,-117.84,64.35,11,35,0.000536,64.35,36.14,93.86,-43.30,0,openvla_libero/action_repeat4/libero_10
OpenVLA,LIBERO Long,depth_pruning1,Depth pruning,100,53,53.00,398.62,398.62,0.00,67.119,168.38,153.13,155.44,-3.00,-3.17,1.83,16,19,0.735879,1.83,-25.00,28.08,-0.95,1,openvla_libero/depth_pruning1/libero_10
OpenVLA,LIBERO Long,depth_pruning2,Depth pruning,100,45,45.00,406.28,406.28,0.00,66.841,164.52,149.29,151.60,-11.00,-7.03,9.49,10,21,0.070756,9.49,-15.17,33.21,-1.23,0,openvla_libero/depth_pruning2/libero_10
OpenVLA,LIBERO Long,depth_pruning4,Depth pruning,100,26,26.00,466.78,466.78,0.00,72.001,154.25,139.20,141.52,-30.00,-17.30,69.99,9,39,0.000015,69.99,40.11,99.89,3.93,0,openvla_libero/depth_pruning4/libero_10
OpenVLA,LIBERO Long,guarded_reuse_strict,Guarded reuse,100,51,51.00,397.87,383.50,14.37,66.376,166.83,157.14,154.70,-5.00,-4.72,1.08,8,13,0.383310,1.08,-18.63,20.90,-1.69,0,openvla_libero/guarded_reuse_strict/libero_10
OpenVLA,LIBERO Long,guarded_reuse_moderate,Guarded reuse,100,51,51.00,396.62,374.49,22.13,64.949,163.76,157.33,151.82,-5.00,-7.79,-0.17,9,14,0.404873,-0.17,-21.92,22.21,-3.12,1,openvla_libero/guarded_reuse_moderate/libero_10
OpenVLA,LIBERO Long,guarded_reuse_aggressive,Guarded reuse,100,50,50.00,399.28,358.81,40.47,62.397,156.27,156.83,145.00,-6.00,-15.27,2.49,12,18,0.361595,2.49,-22.72,27.49,-5.67,0,openvla_libero/guarded_reuse_aggressive/libero_10
OpenVLA,LIBERO Long,temporal_fusion_motion_entropy,Temporal fusion,100,49,49.00,410.34,410.34,0.00,70.945,172.89,157.60,160.47,-7.00,1.35,13.55,9,16,0.229523,13.55,-11.20,39.29,2.88,1,openvla_libero/temporal_fusion_motion_entropy/libero_10
OpenVLA,LIBERO Long,temporal_fusion_task_aware,Temporal fusion,100,48,48.00,409.33,409.33,0.00,75.992,185.65,170.34,173.23,-8.00,14.10,12.54,10,18,0.184933,12.54,-13.03,37.07,7.92,0,openvla_libero/temporal_fusion_task_aware/libero_10
OpenVLA,LIBERO Long,temporal_fusion_conservative_adaptive,Temporal fusion,100,45,45.00,405.55,405.55,0.00,71.438,176.15,161.08,163.90,-11.00,4.60,8.76,2,13,0.007385,8.76,-6.68,24.54,3.37,0,openvla_libero/temporal_fusion_conservative_adaptive/libero_10
UniVLA,LIBERO Long,original,Original,100,86,86.00,280.36,28.44,0.00,16.781,59.86,469.02,590.05,0.00,0.00,0.00,,,,,,,,1,univla_libero/original/libero_10
UniVLA,LIBERO Long,fixed_foveation_keep20,Foveation,100,86,86.00,275.74,27.98,0.00,16.568,60.09,465.34,592.15,0.00,0.23,-4.62,8,8,1.000000,-4.62,-26.22,16.50,-0.21,0,univla_libero/fixed_foveation_keep20/libero_10
UniVLA,LIBERO Long,fixed_foveation_keep50,Foveation,100,90,90.00,268.88,27.32,0.00,16.292,60.59,469.61,596.32,4.00,0.74,-11.48,8,4,0.387695,-11.48,-29.12,5.80,-0.49,1,univla_libero/fixed_foveation_keep50/libero_10
UniVLA,LIBERO Long,action_repeat2,Action repeat,100,27,27.00,465.50,23.42,234.20,16.715,35.91,471.27,713.70,-59.00,-23.95,185.14,2,61,0.000000,185.14,161.27,208.52,-0.07,1,univla_libero/action_repeat2/libero_10
UniVLA,LIBERO Long,action_repeat4,Action repeat,100,1,1.00,517.42,12.94,388.20,12.458,24.08,486.06,962.77,-85.00,-35.78,237.06,0,85,0.000000,237.06,216.12,257.69,-4.32,0,univla_libero/action_repeat4/libero_10
UniVLA,LIBERO Long,depth_pruning1,Depth pruning,100,88,88.00,286.12,29.02,0.00,16.604,58.03,449.74,572.17,2.00,-1.82,5.76,8,6,0.790527,5.76,-13.81,27.59,-0.18,0,univla_libero/depth_pruning1/libero_10
UniVLA,LIBERO Long,depth_pruning2,Depth pruning,100,89,89.00,282.61,28.66,0.00,16.167,57.21,442.05,564.11,3.00,-2.65,2.25,10,7,0.629059,2.25,-18.40,23.71,-0.61,1,univla_libero/depth_pruning2/libero_10
UniVLA,LIBERO Long,depth_pruning4,Depth pruning,100,86,86.00,304.49,30.82,0.00,16.556,54.37,415.43,537.18,0.00,-5.48,24.13,8,8,1.000000,24.13,3.25,45.80,-0.23,0,univla_libero/depth_pruning4/libero_10
UniVLA,LIBERO Long,guarded_reuse_strict,Guarded reuse,100,86,86.00,280.58,28.40,0.05,16.687,59.47,466.04,586.55,0.00,-0.38,0.22,0,0,1.000000,0.22,-0.77,1.17,-0.09,1,univla_libero/guarded_reuse_strict/libero_10
UniVLA,LIBERO Long,guarded_reuse_moderate,Guarded reuse,100,86,86.00,280.89,28.42,0.06,16.811,59.85,469.23,590.32,0.00,-0.01,0.53,0,0,1.000000,0.53,-0.07,1.29,0.03,0,univla_libero/guarded_reuse_moderate/libero_10
UniVLA,LIBERO Long,guarded_reuse_aggressive,Guarded reuse,100,86,86.00,281.23,28.34,0.17,16.374,58.22,462.74,574.46,0.00,-1.63,0.87,0,0,1.000000,0.87,0.12,1.81,-0.41,0,univla_libero/guarded_reuse_aggressive/libero_10
UniVLA,LIBERO Long,temporal_fusion_motion_entropy,Temporal fusion,100,83,83.00,292.09,29.61,0.00,17.096,58.53,462.46,577.38,-3.00,-1.32,11.73,5,8,0.581055,11.73,-5.88,30.61,0.32,0,univla_libero/temporal_fusion_motion_entropy/libero_10
UniVLA,LIBERO Long,temporal_fusion_task_aware,Temporal fusion,100,87,87.00,281.91,28.56,0.00,18.294,64.89,525.15,640.55,1.00,5.04,1.55,7,6,1.000000,1.55,-14.39,19.80,1.51,1,univla_libero/temporal_fusion_task_aware/libero_10
UniVLA,LIBERO Long,temporal_fusion_conservative_adaptive,Temporal fusion,100,86,86.00,280.45,28.44,0.00,16.411,58.52,462.14,577.05,0.00,-1.34,0.09,0,0,1.000000,0.09,-0.19,0.48,-0.37,0,univla_libero/temporal_fusion_conservative_adaptive/libero_10
SmolVLA,LIBERO Long,original,Original,100,42,42.00,428.35,428.35,0.00,123.997,289.48,275.08,289.48,0.00,0.00,0.00,,,,,,,,1,smolvla_libero/original/libero_10
SmolVLA,LIBERO Long,fixed_foveation_keep20,Foveation,100,19,19.00,481.49,481.49,0.00,147.137,305.59,277.85,305.59,-23.00,16.11,53.14,3,26,0.000015,53.14,30.82,75.57,23.14,0,smolvla_libero/fixed_foveation_keep20/libero_10
SmolVLA,LIBERO Long,fixed_foveation_keep50,Foveation,100,21,21.00,477.84,477.84,0.00,146.449,306.48,278.08,306.48,-21.00,17.00,49.49,6,27,0.000324,49.49,26.46,74.97,22.45,1,smolvla_libero/fixed_foveation_keep50/libero_10
SmolVLA,LIBERO Long,action_repeat2,Action repeat,100,31,31.00,443.45,221.80,221.65,67.465,152.14,278.12,152.13,-11.00,-137.34,15.10,9,20,0.061428,15.10,-9.58,40.27,-56.53,1,smolvla_libero/action_repeat2/libero_10
SmolVLA,LIBERO Long,action_repeat4,Action repeat,100,20,20.00,470.22,117.64,352.58,37.882,80.56,272.36,80.56,-22.00,-208.91,41.87,5,27,0.000113,41.87,16.45,67.09,-86.12,0,smolvla_libero/action_repeat4/libero_10
SmolVLA,LIBERO Long,depth_pruning1,Depth pruning,100,9,9.00,500.07,500.07,0.00,145.810,291.58,277.71,291.58,-33.00,2.10,71.72,1,34,0.000000,71.72,47.76,96.01,21.81,1,smolvla_libero/depth_pruning1/libero_10
SmolVLA,LIBERO Long,depth_pruning2,Depth pruning,100,3,3.00,515.08,515.08,0.00,148.053,287.44,273.46,287.44,-39.00,-2.04,86.73,1,40,0.000000,86.73,63.00,111.54,24.06,0,smolvla_libero/depth_pruning2/libero_10
SmolVLA,LIBERO Long,depth_pruning4,Depth pruning,100,0,0.00,520.00,520.00,0.00,134.648,258.94,245.37,258.94,-42.00,-30.54,91.65,0,42,0.000000,91.65,68.23,116.51,10.65,0,smolvla_libero/depth_pruning4/libero_10
SmolVLA,LIBERO Long,guarded_reuse_strict,Guarded reuse,100,40,40.00,435.10,434.52,0.58,118.974,273.44,260.58,273.44,-2.00,-16.03,6.75,13,15,0.850554,6.75,-18.89,34.03,-5.02,0,smolvla_libero/guarded_reuse_strict/libero_10
SmolVLA,LIBERO Long,guarded_reuse_moderate,Guarded reuse,100,40,40.00,434.40,432.07,2.33,119.263,274.55,262.71,274.56,-2.00,-14.93,6.05,13,15,0.850554,6.05,-18.19,30.65,-4.73,0,smolvla_libero/guarded_reuse_moderate/libero_10
SmolVLA,LIBERO Long,guarded_reuse_aggressive,Guarded reuse,100,42,42.00,426.73,415.56,11.17,114.762,268.93,262.55,269.10,0.00,-20.54,-1.62,13,13,1.000000,-1.62,-26.46,23.81,-9.24,1,smolvla_libero/guarded_reuse_aggressive/libero_10
SmolVLA,LIBERO Long,temporal_fusion_motion_entropy,Temporal fusion,100,43,43.00,418.42,418.42,0.00,115.469,275.96,262.82,275.96,1.00,-13.51,-9.93,12,11,1.000000,-9.93,-35.62,15.53,-8.53,0,smolvla_libero/temporal_fusion_motion_entropy/libero_10
SmolVLA,LIBERO Long,temporal_fusion_task_aware,Temporal fusion,100,39,39.00,427.47,427.47,0.00,117.947,275.92,262.77,275.92,-3.00,-13.56,-0.88,11,14,0.690038,-0.88,-24.64,24.01,-6.05,0,smolvla_libero/temporal_fusion_task_aware/libero_10
SmolVLA,LIBERO Long,temporal_fusion_conservative_adaptive,Temporal fusion,100,45,45.00,415.94,415.94,0.00,115.109,276.74,263.56,276.74,3.00,-12.73,-12.41,14,11,0.690038,-12.41,-37.26,12.92,-8.89,1,smolvla_libero/temporal_fusion_conservative_adaptive/libero_10
OpenVLA,LIBERO Goal,original,Original,100,75,75.00,157.59,157.59,0.00,27.752,176.10,159.69,161.99,0.00,0.00,0.00,,,,,,,,1,openvla_libero/original/libero_goal
OpenVLA,LIBERO Goal,fixed_foveation_keep20,Foveation,100,64,64.00,180.92,180.92,0.00,32.505,179.66,157.86,165.56,-11.00,3.56,23.33,13,24,0.098872,23.33,3.69,42.48,4.75,0,openvla_libero/fixed_foveation_keep20/libero_goal
OpenVLA,LIBERO Goal,fixed_foveation_keep50,Foveation,100,75,75.00,157.29,157.29,0.00,28.520,181.32,159.15,167.17,0.00,5.22,-0.30,10,10,1.000000,-0.30,-15.39,13.98,0.77,1,openvla_libero/fixed_foveation_keep50/libero_goal
OpenVLA,LIBERO Goal,action_repeat2,Action repeat,100,68,68.00,175.16,87.74,87.42,16.863,96.27,159.79,82.30,-7.00,-79.83,17.57,10,17,0.247789,17.57,0.31,35.21,-10.89,1,openvla_libero/action_repeat2/libero_goal
OpenVLA,LIBERO Goal,action_repeat4,Action repeat,100,60,60.00,192.74,48.41,144.33,10.720,55.62,158.06,41.94,-15.00,-120.48,35.15,6,21,0.005925,35.15,18.16,50.55,-17.03,0,openvla_libero/action_repeat4/libero_goal
OpenVLA,LIBERO Goal,depth_pruning1,Depth pruning,100,72,72.00,165.43,165.43,0.00,28.206,170.50,153.56,155.87,-3.00,-5.60,7.84,12,15,0.701108,7.84,-9.82,24.60,0.45,1,openvla_libero/depth_pruning1/libero_goal
OpenVLA,LIBERO Goal,depth_pruning2,Depth pruning,100,59,59.00,185.07,185.07,0.00,30.914,167.04,150.21,152.52,-16.00,-9.06,27.48,6,22,0.003719,27.48,9.85,45.00,3.16,0,openvla_libero/depth_pruning2/libero_goal
OpenVLA,LIBERO Goal,depth_pruning4,Depth pruning,100,41,41.00,218.39,218.39,0.00,34.614,158.50,141.86,144.18,-34.00,-17.60,60.80,4,38,0.000000,60.80,41.83,80.04,6.86,0,openvla_libero/depth_pruning4/libero_goal
OpenVLA,LIBERO Goal,guarded_reuse_strict,Guarded reuse,100,71,71.00,164.75,156.84,7.91,27.676,167.99,158.55,154.58,-4.00,-8.11,7.16,2,6,0.289062,7.16,-0.68,15.72,-0.08,0,openvla_libero/guarded_reuse_strict/libero_goal
OpenVLA,LIBERO Goal,guarded_reuse_moderate,Guarded reuse,100,69,69.00,165.24,156.76,8.48,27.679,167.51,158.67,154.06,-6.00,-8.59,7.65,4,10,0.179565,7.65,-4.23,19.74,-0.07,0,openvla_libero/guarded_reuse_moderate/libero_goal
OpenVLA,LIBERO Goal,guarded_reuse_aggressive,Guarded reuse,100,72,72.00,163.88,145.59,18.29,25.867,157.84,158.35,145.89,-3.00,-18.26,6.29,8,11,0.647606,6.29,-6.79,21.18,-1.89,1,openvla_libero/guarded_reuse_aggressive/libero_goal
OpenVLA,LIBERO Goal,temporal_fusion_motion_entropy,Temporal fusion,100,74,74.00,159.57,159.57,0.00,28.261,177.11,159.97,162.83,-1.00,1.01,1.98,7,8,1.000000,1.98,-10.71,15.31,0.51,0,openvla_libero/temporal_fusion_motion_entropy/libero_goal
OpenVLA,LIBERO Goal,temporal_fusion_task_aware,Temporal fusion,100,73,73.00,161.96,161.96,0.00,30.502,188.33,171.32,174.20,-2.00,12.23,4.37,10,12,0.831812,4.37,-11.12,20.96,2.75,0,openvla_libero/temporal_fusion_task_aware/libero_goal
OpenVLA,LIBERO Goal,temporal_fusion_conservative_adaptive,Temporal fusion,100,77,77.00,158.66,158.66,0.00,27.960,176.22,159.43,162.15,2.00,0.12,1.07,5,3,0.726562,1.07,-7.92,10.78,0.21,1,openvla_libero/temporal_fusion_conservative_adaptive/libero_goal
UniVLA,LIBERO Goal,original,Original,100,92,92.00,122.58,12.66,0.00,7.985,65.14,493.26,630.71,0.00,0.00,0.00,,,,,,,,1,univla_libero/original/libero_goal
UniVLA,LIBERO Goal,fixed_foveation_keep20,Foveation,100,87,87.00,129.80,13.34,0.00,8.450,65.10,490.91,633.44,-5.00,-0.04,7.22,3,8,0.226562,7.22,-3.91,19.65,0.47,0,univla_libero/fixed_foveation_keep20/libero_goal
UniVLA,LIBERO Goal,fixed_foveation_keep50,Foveation,100,99,99.00,114.37,11.86,0.00,7.489,65.48,487.08,631.49,7.00,0.34,-8.21,8,1,0.039062,-8.21,-19.08,2.06,-0.50,1,univla_libero/fixed_foveation_keep50/libero_goal
UniVLA,LIBERO Goal,action_repeat2,Action repeat,100,34,34.00,244.05,12.34,123.40,9.698,39.74,510.01,785.93,-58.00,-25.40,121.47,3,61,0.000000,121.47,101.89,140.02,1.71,1,univla_libero/action_repeat2/libero_goal
