backbone,env,configuration,family,episodes,successes,success_pct,avg_steps,avg_policy_calls,avg_reuses,avg_episode_s,latency_ms_per_step,policy_query_latency_mean_ms,inference_cycle_mean_ms,delta_success_vs_original,delta_latency_ms_vs_original,delta_avg_steps_vs_original,win,loss,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,in_table,results_folder
OpenVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,200,82,41.00,52.70,49.39,3.31,10.516,199.56,158.39,158.95,-2.50,-10.63,1.79,18,23,0.532709,1.78,-1.45,4.84,-0.18,0,openvla_simplerenv/guarded_reuse_aggressive
OpenVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,200,82,41.00,54.84,54.84,0.00,11.458,208.94,158.36,166.69,-2.50,-1.24,3.93,29,34,0.614655,3.93,0.22,7.84,0.76,0,openvla_simplerenv/temporal_fusion_motion_entropy
OpenVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,200,101,50.50,50.53,50.53,0.00,11.234,222.32,171.71,180.10,7.00,12.13,-0.38,41,27,0.114254,-0.38,-4.20,3.60,0.53,1,openvla_simplerenv/temporal_fusion_task_aware
OpenVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,200,96,48.00,48.52,48.52,0.00,10.104,208.25,158.18,166.38,4.50,-1.93,-2.39,18,9,0.122078,-2.39,-5.78,0.83,-0.60,0,openvla_simplerenv/temporal_fusion_conservative_adaptive
SpatialVLA,WidowX,original,Original,200,90,45.00,45.15,45.15,0.00,19.122,423.57,384.76,423.57,0.00,0.00,0.00,,,,,,,,1,spatialvla_simplerenv_bridge/original
SpatialVLA,WidowX,fixed_foveation_keep20,Foveation,200,100,50.00,45.57,45.56,0.00,20.315,445.85,384.60,445.85,5.00,22.28,0.42,21,11,0.110184,0.42,-1.15,1.95,1.19,1,spatialvla_simplerenv_bridge/fixed_foveation_keep20
SpatialVLA,WidowX,fixed_foveation_keep50,Foveation,200,89,44.50,46.06,46.06,0.00,20.533,445.79,381.84,445.78,-0.50,22.22,0.91,19,20,1.000000,0.92,-1.02,2.83,1.41,0,spatialvla_simplerenv_bridge/fixed_foveation_keep50
SpatialVLA,WidowX,action_repeat2,Action repeat,200,82,41.00,49.38,24.85,0.00,11.607,235.08,387.64,467.09,-4.00,-188.49,4.23,17,25,0.279956,4.23,2.06,6.58,-7.51,1,spatialvla_simplerenv_bridge/action_repeat2
SpatialVLA,WidowX,action_repeat4,Action repeat,200,58,29.00,62.40,15.78,0.00,8.603,137.87,384.71,545.19,-16.00,-285.70,17.25,16,48,0.000077,17.25,13.47,21.18,-10.52,0,spatialvla_simplerenv_bridge/action_repeat4
SpatialVLA,WidowX,depth_pruning1,Depth pruning,200,77,38.50,49.71,49.70,0.00,20.304,408.50,368.98,408.50,-6.50,-15.07,4.56,8,21,0.024120,4.56,2.33,7.08,1.18,1,spatialvla_simplerenv_bridge/depth_pruning1
SpatialVLA,WidowX,depth_pruning2,Depth pruning,200,56,28.00,55.32,55.32,0.00,21.977,397.27,357.88,397.26,-17.00,-26.30,10.17,4,38,0.000000,10.18,7.15,13.46,2.85,0,spatialvla_simplerenv_bridge/depth_pruning2
SpatialVLA,WidowX,depth_pruning4,Depth pruning,200,28,14.00,70.88,70.88,0.00,26.548,374.55,335.57,374.55,-31.00,-49.02,25.73,12,74,0.000000,25.73,20.43,31.40,7.43,0,spatialvla_simplerenv_bridge/depth_pruning4
SpatialVLA,WidowX,guarded_reuse_strict,Guarded reuse,200,90,45.00,45.15,45.13,0.01,19.079,422.63,382.53,422.63,0.00,-0.94,0.00,0,0,1.000000,0.00,0.00,0.00,-0.04,0,spatialvla_simplerenv_bridge/guarded_reuse_strict
SpatialVLA,WidowX,guarded_reuse_moderate,Guarded reuse,200,90,45.00,45.11,45.08,0.03,19.176,425.10,385.22,425.11,0.00,1.53,-0.04,1,1,1.000000,-0.04,-0.17,0.07,0.05,0,spatialvla_simplerenv_bridge/guarded_reuse_moderate
SpatialVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,200,91,45.50,45.13,44.94,0.19,19.072,422.64,384.57,422.71,0.50,-0.93,-0.02,2,1,1.000000,-0.02,-0.10,0.06,-0.05,1,spatialvla_simplerenv_bridge/guarded_reuse_aggressive
SpatialVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,200,92,46.00,45.34,45.34,0.00,19.405,428.05,387.87,428.04,1.00,4.48,0.19,15,13,0.850554,0.19,-1.26,1.72,0.28,1,spatialvla_simplerenv_bridge/temporal_fusion_motion_entropy
SpatialVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,200,88,44.00,45.48,45.48,0.00,19.408,426.79,387.30,426.79,-1.00,3.22,0.33,8,10,0.814529,0.33,-0.78,1.48,0.29,0,spatialvla_simplerenv_bridge/temporal_fusion_task_aware
SpatialVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,200,90,45.00,45.69,45.69,0.00,19.477,426.28,385.82,426.28,0.00,2.71,0.54,1,1,1.000000,0.55,-0.17,1.74,0.35,0,spatialvla_simplerenv_bridge/temporal_fusion_conservative_adaptive
CronusVLA,WidowX,original,Original,200,68,34.00,50.56,50.55,0.00,6.362,125.84,,,0.00,0.00,0.00,,,,,,,,1,cronusvla_simplerenv_bridge/original
CronusVLA,WidowX,fixed_foveation_keep20,Foveation,200,73,36.50,48.92,48.92,0.00,7.138,145.91,,,2.50,20.07,-1.63,16,11,0.442068,-1.64,-3.46,0.04,0.78,1,cronusvla_simplerenv_bridge/fixed_foveation_keep20
CronusVLA,WidowX,fixed_foveation_keep50,Foveation,200,68,34.00,50.44,50.44,0.00,7.412,146.94,,,0.00,21.10,-0.12,10,10,1.000000,-0.12,-1.45,1.21,1.05,0,cronusvla_simplerenv_bridge/fixed_foveation_keep50
CronusVLA,WidowX,action_repeat2,Action repeat,200,7,3.50,73.40,36.71,36.69,6.217,84.71,,,-30.50,-41.13,22.84,2,63,0.000000,22.84,17.89,28.36,-0.14,1,cronusvla_simplerenv_bridge/action_repeat2
CronusVLA,WidowX,action_repeat4,Action repeat,200,0,0.00,75.00,18.75,56.25,4.788,63.84,,,-34.00,-62.00,24.45,0,68,0.000000,24.45,19.30,30.02,-1.57,0,cronusvla_simplerenv_bridge/action_repeat4
CronusVLA,WidowX,depth_pruning1,Depth pruning,200,71,35.50,50.03,50.02,0.00,6.110,122.15,,,1.50,-3.69,-0.53,13,10,0.677639,-0.53,-2.15,0.88,-0.25,0,cronusvla_simplerenv_bridge/depth_pruning1
CronusVLA,WidowX,depth_pruning2,Depth pruning,200,72,36.00,50.52,50.52,0.00,6.000,118.76,,,2.00,-7.08,-0.03,17,13,0.584665,-0.04,-1.65,1.64,-0.36,1,cronusvla_simplerenv_bridge/depth_pruning2
CronusVLA,WidowX,depth_pruning4,Depth pruning,200,57,28.50,52.52,52.52,0.00,5.954,113.38,,,-5.50,-12.46,1.96,6,17,0.034690,1.96,0.09,4.01,-0.41,0,cronusvla_simplerenv_bridge/depth_pruning4
CronusVLA,WidowX,guarded_reuse_strict,Guarded reuse,200,72,36.00,49.74,49.71,0.03,6.240,125.47,,,2.00,-0.38,-0.82,9,5,0.423950,-0.82,-2.28,0.36,-0.12,0,cronusvla_simplerenv_bridge/guarded_reuse_strict
CronusVLA,WidowX,guarded_reuse_moderate,Guarded reuse,200,69,34.50,50.14,49.98,0.17,6.158,122.83,83.00,122.75,0.50,-3.02,-0.41,10,9,1.000000,-0.41,-2.19,1.28,-0.20,0,cronusvla_simplerenv_bridge/guarded_reuse_moderate
