backbone,env,configuration,family,task,task_description,episodes,successes,success_pct,avg_steps,avg_reuses,orig_episodes,orig_successes,orig_success_pct,orig_avg_steps,delta_success_pct,delta_avg_steps,delta_vs_original
CogACT,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_spoon_on_towel,,50,35,70.00,38.68,0.06,50,31,62.00,40.34,8.00,-1.66,8.00
CogACT,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_stack_cube,,50,13,26.00,52.60,0.24,50,16,32.00,51.58,-6.00,1.02,-6.00
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_carrot_on_plate,,50,21,42.00,49.48,0.42,50,19,38.00,50.86,4.00,-1.38,4.00
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_put_eggplant_in_basket,,50,35,70.00,59.12,3.62,50,34,68.00,60.60,2.00,-1.48,2.00
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_spoon_on_towel,,50,33,66.00,38.92,0.70,50,31,62.00,40.34,4.00,-1.42,4.00
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_stack_cube,,50,17,34.00,51.56,0.68,50,16,32.00,51.58,2.00,-0.02,2.00
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_carrot_on_plate,,50,23,46.00,49.74,0.00,50,19,38.00,50.86,8.00,-1.12,8.00
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_put_eggplant_in_basket,,50,41,82.00,51.06,0.00,50,34,68.00,60.60,14.00,-9.54,14.00
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_spoon_on_towel,,50,36,72.00,37.08,0.00,50,31,62.00,40.34,10.00,-3.26,10.00
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_stack_cube,,50,16,32.00,51.76,0.00,50,16,32.00,51.58,0.00,0.18,0.00
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_carrot_on_plate,,50,23,46.00,49.74,0.00,50,19,38.00,50.86,8.00,-1.12,8.00
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_put_eggplant_in_basket,,50,41,82.00,51.06,0.00,50,34,68.00,60.60,14.00,-9.54,14.00
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_spoon_on_towel,,50,36,72.00,37.08,0.00,50,31,62.00,40.34,10.00,-3.26,10.00
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_stack_cube,,50,16,32.00,51.76,0.00,50,16,32.00,51.58,0.00,0.18,0.00
CogACT,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_carrot_on_plate,,50,18,36.00,51.30,0.00,50,19,38.00,50.86,-2.00,0.44,-2.00
CogACT,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_put_eggplant_in_basket,,50,38,76.00,54.50,0.00,50,34,68.00,60.60,8.00,-6.10,8.00
CogACT,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_spoon_on_towel,,50,34,68.00,37.54,0.00,50,31,62.00,40.34,6.00,-2.80,6.00
CogACT,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_stack_cube,,50,14,28.00,52.38,0.00,50,16,32.00,51.58,-4.00,0.80,-4.00
OpenVLA,WidowX,original,Original,widowx_carrot_on_plate,,50,16,32.00,51.22,0.00,50,16,32.00,51.22,0.00,0.00,0.00
OpenVLA,WidowX,original,Original,widowx_put_eggplant_in_basket,,50,37,74.00,53.74,0.00,50,37,74.00,53.74,0.00,0.00,0.00
OpenVLA,WidowX,original,Original,widowx_spoon_on_towel,,50,19,38.00,47.52,0.00,50,19,38.00,47.52,0.00,0.00,0.00
OpenVLA,WidowX,original,Original,widowx_stack_cube,,50,15,30.00,51.16,0.00,50,15,30.00,51.16,0.00,0.00,0.00
OpenVLA,WidowX,fixed_foveation_keep20,Foveation,widowx_carrot_on_plate,,50,12,24.00,51.34,0.00,50,16,32.00,51.22,-8.00,0.12,-8.00
OpenVLA,WidowX,fixed_foveation_keep20,Foveation,widowx_put_eggplant_in_basket,,50,8,16.00,104.72,0.00,50,37,74.00,53.74,-58.00,50.98,-58.00
OpenVLA,WidowX,fixed_foveation_keep20,Foveation,widowx_spoon_on_towel,,50,19,38.00,49.20,0.00,50,19,38.00,47.52,0.00,1.68,0.00
OpenVLA,WidowX,fixed_foveation_keep20,Foveation,widowx_stack_cube,,50,6,12.00,55.70,0.00,50,15,30.00,51.16,-18.00,4.54,-18.00
OpenVLA,WidowX,fixed_foveation_keep50,Foveation,widowx_carrot_on_plate,,50,17,34.00,50.32,0.00,50,16,32.00,51.22,2.00,-0.90,2.00
OpenVLA,WidowX,fixed_foveation_keep50,Foveation,widowx_put_eggplant_in_basket,,50,12,24.00,97.84,0.00,50,37,74.00,53.74,-50.00,44.10,-50.00
OpenVLA,WidowX,fixed_foveation_keep50,Foveation,widowx_spoon_on_towel,,50,24,48.00,46.30,0.00,50,19,38.00,47.52,10.00,-1.22,10.00
OpenVLA,WidowX,fixed_foveation_keep50,Foveation,widowx_stack_cube,,50,7,14.00,55.60,0.00,50,15,30.00,51.16,-16.00,4.44,-16.00
OpenVLA,WidowX,action_repeat2,Action repeat,widowx_carrot_on_plate,,50,10,20.00,55.08,27.50,50,16,32.00,51.22,-12.00,3.86,-12.00
OpenVLA,WidowX,action_repeat2,Action repeat,widowx_put_eggplant_in_basket,,50,23,46.00,80.84,40.26,50,37,74.00,53.74,-28.00,27.10,-28.00
OpenVLA,WidowX,action_repeat2,Action repeat,widowx_spoon_on_towel,,50,14,28.00,50.66,25.26,50,19,38.00,47.52,-10.00,3.14,-10.00
OpenVLA,WidowX,action_repeat2,Action repeat,widowx_stack_cube,,50,9,18.00,55.40,27.64,50,15,30.00,51.16,-12.00,4.24,-12.00
OpenVLA,WidowX,action_repeat4,Action repeat,widowx_carrot_on_plate,,50,11,22.00,56.08,42.00,50,16,32.00,51.22,-10.00,4.86,-10.00
OpenVLA,WidowX,action_repeat4,Action repeat,widowx_put_eggplant_in_basket,,50,14,28.00,98.74,73.90,50,37,74.00,53.74,-46.00,45.00,-46.00
OpenVLA,WidowX,action_repeat4,Action repeat,widowx_spoon_on_towel,,50,3,6.00,59.30,44.44,50,19,38.00,47.52,-32.00,11.78,-32.00
OpenVLA,WidowX,action_repeat4,Action repeat,widowx_stack_cube,,50,1,2.00,59.52,44.64,50,15,30.00,51.16,-28.00,8.36,-28.00
OpenVLA,WidowX,depth_pruning1,Depth pruning,widowx_carrot_on_plate,,50,8,16.00,56.16,0.00,50,16,32.00,51.22,-16.00,4.94,-16.00
OpenVLA,WidowX,depth_pruning1,Depth pruning,widowx_put_eggplant_in_basket,,50,36,72.00,53.92,0.00,50,37,74.00,53.74,-2.00,0.18,-2.00
OpenVLA,WidowX,depth_pruning1,Depth pruning,widowx_spoon_on_towel,,50,22,44.00,47.04,0.00,50,19,38.00,47.52,6.00,-0.48,6.00
OpenVLA,WidowX,depth_pruning1,Depth pruning,widowx_stack_cube,,50,21,42.00,49.50,0.00,50,15,30.00,51.16,12.00,-1.66,12.00
OpenVLA,WidowX,depth_pruning2,Depth pruning,widowx_carrot_on_plate,,50,19,38.00,50.02,0.00,50,16,32.00,51.22,6.00,-1.20,6.00
OpenVLA,WidowX,depth_pruning2,Depth pruning,widowx_put_eggplant_in_basket,,50,33,66.00,59.24,0.00,50,37,74.00,53.74,-8.00,5.50,-8.00
OpenVLA,WidowX,depth_pruning2,Depth pruning,widowx_spoon_on_towel,,50,23,46.00,45.84,0.00,50,19,38.00,47.52,8.00,-1.68,8.00
OpenVLA,WidowX,depth_pruning2,Depth pruning,widowx_stack_cube,,50,20,40.00,49.90,0.00,50,15,30.00,51.16,10.00,-1.26,10.00
OpenVLA,WidowX,depth_pruning4,Depth pruning,widowx_carrot_on_plate,,50,14,28.00,54.06,0.00,50,16,32.00,51.22,-4.00,2.84,-4.00
OpenVLA,WidowX,depth_pruning4,Depth pruning,widowx_put_eggplant_in_basket,,50,38,76.00,51.60,0.00,50,37,74.00,53.74,2.00,-2.14,2.00
