model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
univla_libero,LIBERO-Spatial,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,fixed_foveation_keep50,10,100,96,96,108.93,11.29,0.0,508.64,687.005,698.213,887.052,8.05,1.403,2,1,N/A,N/A,N/A,0.0
univla_libero,LIBERO-Spatial,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,action_repeat2,10,100,27,27,208.63,10.55,105.5,525.242,700.798,903.456,1104.862,9.68,1.09,2,1,N/A,N/A,N/A,0.0
univla_libero,LIBERO-Spatial,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,depth_pruning1,10,100,96,96,107.83,11.18,0.0,494.037,676.695,678.102,855.343,7.72,1.448,2,1,19,N/A,N/A,0.0
univla_libero,LIBERO-Spatial,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,guarded_reuse_aggressive,10,100,95,95,108.31,11.27,0.0,503.558,690.597,686.978,867.084,7.86,1.434,2,1,N/A,N/A,N/A,0.0
univla_libero,LIBERO-Spatial,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,temporal_fusion_conservative_adaptive,10,100,95,95,108.31,11.27,0.0,498.786,677.162,682.986,866.353,7.82,1.442,2,1,N/A,2,0.25,0.0
openvla_libero,Libero Long,openvla-7b,original,10,100,56,56,396.79,396.79,0.0,156.101,157.552,158.417,159.875,68.07,5.829,2,1,N/A,N/A,N/A,0.0
openvla_libero,Libero Long,openvla-7b,fixed_foveation_keep50,10,100,44,44,410.31,410.31,0.0,157.163,159.726,165.256,168.82,73.26,5.6,2,1,N/A,N/A,N/A,0.0
openvla_libero,Libero Long,openvla-7b,action_repeat2,10,100,46,46,407.47,203.85,203.62,156.735,158.257,157.213,160.171,37.96,10.735,2,1,N/A,N/A,N/A,0.0
openvla_libero,Libero Long,openvla-7b,depth_pruning1,10,100,53,53,398.62,398.62,0.0,153.09,155.118,155.407,157.453,67.12,5.939,2,1,23,N/A,N/A,0.0
openvla_libero,Libero Long,openvla-7b,guarded_reuse_strict,10,100,51,51,397.87,383.5,14.37,157.001,158.553,159.795,161.515,66.38,5.994,2,1,N/A,N/A,N/A,0.0
openvla_libero,Libero Long,openvla-7b,temporal_fusion_motion_entropy,10,100,49,49,410.34,410.34,0.0,157.322,160.458,160.359,163.371,70.95,5.784,2,1,N/A,3,0.5,128
openvla_libero,LIBERO-Goal,openvla-7b,original,10,100,75,75,157.59,157.59,0.0,159.603,160.77,161.915,163.082,27.75,5.679,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Goal,openvla-7b,fixed_foveation_keep50,10,100,75,75,157.29,157.29,0.0,158.755,160.58,166.696,169.426,28.52,5.515,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Goal,openvla-7b,action_repeat2,10,100,68,68,175.16,87.74,87.42,159.713,161.181,159.759,162.928,16.86,10.387,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Goal,openvla-7b,depth_pruning1,10,100,72,72,165.43,165.43,0.0,153.377,154.635,155.687,156.958,28.21,5.865,2,1,17,N/A,N/A,0.0
openvla_libero,LIBERO-Goal,openvla-7b,guarded_reuse_aggressive,10,100,72,72,163.88,145.59,18.29,158.107,159.319,160.988,162.241,25.87,6.336,2,1,N/A,N/A,N/A,0.0
