backbone,environment,setting,n,fail_to_success,success_to_fail,delta_points,p_mcnemar,in_table
UniVLA,WidowX,"Guarded reuse, moderate",200,0,0,+0.0,1.0000,1
UniVLA,WidowX,"Guarded reuse, aggressive",200,0,2,-1.0,0.5000,0
UniVLA,WidowX,"Temporal fusion, motion-entropy",200,6,17,-5.5,0.0347,0
UniVLA,WidowX,"Temporal fusion, task-aware",200,9,17,-4.0,0.1686,0
UniVLA,WidowX,"Temporal fusion, conservative-adaptive",200,0,0,+0.0,1.0000,1
CogACT,Fractal,"Foveation, keep 20%",250,11,16,-2.0,0.4421,0
CogACT,Fractal,"Foveation, keep 50%",250,12,11,+0.4,1.0000,1
CogACT,Fractal,"Action repeat, k=2",250,16,19,-1.2,0.7359,1
CogACT,Fractal,"Action repeat, k=4",250,23,70,-18.8,0.0000,0
CogACT,Fractal,"Depth pruning, 1 layer",250,6,10,-1.6,0.4545,0
CogACT,Fractal,"Depth pruning, 2 layers",250,7,10,-1.2,0.6291,0
CogACT,Fractal,"Depth pruning, 4 layers",250,9,9,+0.0,1.0000,1
CogACT,Fractal,"Guarded reuse, strict",250,0,0,+0.0,1.0000,0
CogACT,Fractal,"Guarded reuse, moderate",250,5,4,+0.4,1.0000,1
CogACT,Fractal,"Guarded reuse, aggressive",250,5,5,+0.0,1.0000,0
CogACT,Fractal,"Temporal fusion, motion-entropy",250,4,9,-2.0,0.2668,0
CogACT,Fractal,"Temporal fusion, task-aware",250,4,9,-2.0,0.2668,0
CogACT,Fractal,"Temporal fusion, conservative-adaptive",250,1,4,-1.2,0.3750,1
CronusVLA,Fractal,"Foveation, keep 20%",250,9,12,-1.2,0.6636,0
CronusVLA,Fractal,"Foveation, keep 50%",250,12,9,+1.2,0.6636,1
CronusVLA,Fractal,"Action repeat, k=2",250,15,8,+2.8,0.2100,1
CronusVLA,Fractal,"Action repeat, k=4",250,6,30,-9.6,0.0001,0
CronusVLA,Fractal,"Depth pruning, 1 layer",250,9,7,+0.8,0.8036,1
CronusVLA,Fractal,"Depth pruning, 2 layers",250,4,14,-4.0,0.0309,0
CronusVLA,Fractal,"Depth pruning, 4 layers",250,4,15,-4.4,0.0192,0
CronusVLA,Fractal,"Guarded reuse, strict",250,6,9,-1.2,0.6072,0
CronusVLA,Fractal,"Guarded reuse, moderate",250,4,6,-0.8,0.7539,0
CronusVLA,Fractal,"Guarded reuse, aggressive",250,9,6,+1.2,0.6072,1
CronusVLA,Fractal,"Temporal fusion, motion-entropy",250,9,5,+1.6,0.4240,1
CronusVLA,Fractal,"Temporal fusion, task-aware",250,9,5,+1.6,0.4240,0
CronusVLA,Fractal,"Temporal fusion, conservative-adaptive",250,9,5,+1.6,0.4240,0
OpenVLA,Fractal,"Foveation, keep 20%",250,8,78,-28.0,0.0000,0
OpenVLA,Fractal,"Foveation, keep 50%",250,22,50,-11.2,0.0013,1
OpenVLA,Fractal,"Action repeat, k=2",250,38,27,+4.4,0.2145,1
OpenVLA,Fractal,"Action repeat, k=4",250,34,34,+0.0,1.0000,0
OpenVLA,Fractal,"Depth pruning, 1 layer",250,33,26,+2.8,0.4350,0
OpenVLA,Fractal,"Depth pruning, 2 layers",250,37,24,+5.2,0.1237,1
OpenVLA,Fractal,"Depth pruning, 4 layers",250,38,35,+1.2,0.8151,0
OpenVLA,Fractal,"Guarded reuse, strict",250,1,0,+0.4,1.0000,0
OpenVLA,Fractal,"Guarded reuse, moderate",250,2,0,+0.8,0.5000,1
OpenVLA,Fractal,"Guarded reuse, aggressive",250,2,3,-0.4,1.0000,0
OpenVLA,Fractal,"Temporal fusion, motion-entropy",250,39,23,+6.4,0.0559,0
OpenVLA,Fractal,"Temporal fusion, task-aware",250,29,12,+6.8,0.0115,1
OpenVLA,Fractal,"Temporal fusion, conservative-adaptive",250,7,4,+1.2,0.5488,0
SpatialVLA,Fractal,"Foveation, keep 20%",250,17,27,-4.0,0.1742,0
SpatialVLA,Fractal,"Foveation, keep 50%",250,16,21,-2.0,0.5114,1
SpatialVLA,Fractal,"Action repeat, k=2",250,33,33,+0.0,1.0000,1
SpatialVLA,Fractal,"Action repeat, k=4",250,19,93,-29.6,0.0000,0
SpatialVLA,Fractal,"Depth pruning, 1 layer",250,12,25,-5.2,0.0470,0
SpatialVLA,Fractal,"Depth pruning, 2 layers",250,17,23,-2.4,0.4296,1
SpatialVLA,Fractal,"Depth pruning, 4 layers",250,7,47,-16.0,0.0000,0
SpatialVLA,Fractal,"Guarded reuse, strict",250,0,0,+0.0,1.0000,0
SpatialVLA,Fractal,"Guarded reuse, moderate",250,2,0,+0.8,0.5000,1
SpatialVLA,Fractal,"Guarded reuse, aggressive",250,3,4,-0.4,1.0000,0
SpatialVLA,Fractal,"Temporal fusion, motion-entropy",250,17,20,-1.2,0.7428,0
SpatialVLA,Fractal,"Temporal fusion, task-aware",250,12,10,+0.8,0.8318,1
SpatialVLA,Fractal,"Temporal fusion, conservative-adaptive",250,0,0,+0.0,1.0000,0
OpenVLA,LIBERO Long,"Foveation, keep 20%",100,7,33,-26.0,0.0000,0
OpenVLA,LIBERO Long,"Foveation, keep 50%",100,8,20,-12.0,0.0357,1
OpenVLA,LIBERO Long,"Action repeat, k=2",100,10,20,-10.0,0.0987,1
OpenVLA,LIBERO Long,"Action repeat, k=4",100,11,35,-24.0,0.0005,0
OpenVLA,LIBERO Long,"Depth pruning, 1 layer",100,16,19,-3.0,0.7359,1
OpenVLA,LIBERO Long,"Depth pruning, 2 layers",100,10,21,-11.0,0.0708,0
OpenVLA,LIBERO Long,"Depth pruning, 4 layers",100,9,39,-30.0,0.0000,0
OpenVLA,LIBERO Long,"Guarded reuse, strict",100,8,13,-5.0,0.3833,0
OpenVLA,LIBERO Long,"Guarded reuse, moderate",100,9,14,-5.0,0.4049,1
OpenVLA,LIBERO Long,"Guarded reuse, aggressive",100,12,18,-6.0,0.3616,0
OpenVLA,LIBERO Long,"Temporal fusion, motion-entropy",100,9,16,-7.0,0.2295,1
OpenVLA,LIBERO Long,"Temporal fusion, task-aware",100,10,18,-8.0,0.1849,0
OpenVLA,LIBERO Long,"Temporal fusion, conservative-adaptive",100,2,13,-11.0,0.0074,0
SmolVLA,LIBERO Long,"Foveation, keep 20%",100,3,26,-23.0,0.0000,0
SmolVLA,LIBERO Long,"Foveation, keep 50%",100,6,27,-21.0,0.0003,1
SmolVLA,LIBERO Long,"Action repeat, k=2",100,9,20,-11.0,0.0614,1
SmolVLA,LIBERO Long,"Action repeat, k=4",100,5,27,-22.0,0.0001,0
SmolVLA,LIBERO Long,"Depth pruning, 1 layer",100,1,34,-33.0,0.0000,1
SmolVLA,LIBERO Long,"Depth pruning, 2 layers",100,1,40,-39.0,0.0000,0
SmolVLA,LIBERO Long,"Depth pruning, 4 layers",100,0,42,-42.0,0.0000,0
SmolVLA,LIBERO Long,"Guarded reuse, strict",100,13,15,-2.0,0.8506,0
SmolVLA,LIBERO Long,"Guarded reuse, moderate",100,13,15,-2.0,0.8506,0
SmolVLA,LIBERO Long,"Guarded reuse, aggressive",100,13,13,+0.0,1.0000,1
SmolVLA,LIBERO Long,"Temporal fusion, motion-entropy",100,12,11,+1.0,1.0000,0
SmolVLA,LIBERO Long,"Temporal fusion, task-aware",100,11,14,-3.0,0.6900,0
SmolVLA,LIBERO Long,"Temporal fusion, conservative-adaptive",100,14,11,+3.0,0.6900,1
UniVLA,LIBERO Long,"Foveation, keep 20%",100,8,8,+0.0,1.0000,0
UniVLA,LIBERO Long,"Foveation, keep 50%",100,8,4,+4.0,0.3877,1
UniVLA,LIBERO Long,"Action repeat, k=2",100,2,61,-59.0,0.0000,1
UniVLA,LIBERO Long,"Action repeat, k=4",100,0,85,-85.0,0.0000,0
UniVLA,LIBERO Long,"Depth pruning, 1 layer",100,8,6,+2.0,0.7905,0
UniVLA,LIBERO Long,"Depth pruning, 2 layers",100,10,7,+3.0,0.6291,1
UniVLA,LIBERO Long,"Depth pruning, 4 layers",100,8,8,+0.0,1.0000,0
UniVLA,LIBERO Long,"Guarded reuse, strict",100,0,0,+0.0,1.0000,1
UniVLA,LIBERO Long,"Guarded reuse, moderate",100,0,0,+0.0,1.0000,0
UniVLA,LIBERO Long,"Guarded reuse, aggressive",100,0,0,+0.0,1.0000,0
UniVLA,LIBERO Long,"Temporal fusion, motion-entropy",100,5,8,-3.0,0.5811,0
UniVLA,LIBERO Long,"Temporal fusion, task-aware",100,7,6,+1.0,1.0000,1
UniVLA,LIBERO Long,"Temporal fusion, conservative-adaptive",100,0,0,+0.0,1.0000,0
OpenVLA,LIBERO Goal,"Foveation, keep 20%",100,13,24,-11.0,0.0989,0
OpenVLA,LIBERO Goal,"Foveation, keep 50%",100,10,10,+0.0,1.0000,1
OpenVLA,LIBERO Goal,"Action repeat, k=2",100,10,17,-7.0,0.2478,1
OpenVLA,LIBERO Goal,"Action repeat, k=4",100,6,21,-15.0,0.0059,0
OpenVLA,LIBERO Goal,"Depth pruning, 1 layer",100,12,15,-3.0,0.7011,1
OpenVLA,LIBERO Goal,"Depth pruning, 2 layers",100,6,22,-16.0,0.0037,0
OpenVLA,LIBERO Goal,"Depth pruning, 4 layers",100,4,38,-34.0,0.0000,0
OpenVLA,LIBERO Goal,"Guarded reuse, strict",100,2,6,-4.0,0.2891,0
OpenVLA,LIBERO Goal,"Guarded reuse, moderate",100,4,10,-6.0,0.1796,0
OpenVLA,LIBERO Goal,"Guarded reuse, aggressive",100,8,11,-3.0,0.6476,1
OpenVLA,LIBERO Goal,"Temporal fusion, motion-entropy",100,7,8,-1.0,1.0000,0
OpenVLA,LIBERO Goal,"Temporal fusion, task-aware",100,10,12,-2.0,0.8318,0
OpenVLA,LIBERO Goal,"Temporal fusion, conservative-adaptive",100,5,3,+2.0,0.7266,1
SmolVLA,LIBERO Goal,"Foveation, keep 20%",100,7,29,-22.0,0.0003,0
SmolVLA,LIBERO Goal,"Foveation, keep 50%",100,6,19,-13.0,0.0146,1
SmolVLA,LIBERO Goal,"Action repeat, k=2",100,7,15,-8.0,0.1338,1
SmolVLA,LIBERO Goal,"Action repeat, k=4",100,6,27,-21.0,0.0003,0
SmolVLA,LIBERO Goal,"Depth pruning, 1 layer",100,6,24,-18.0,0.0014,1
SmolVLA,LIBERO Goal,"Depth pruning, 2 layers",100,5,32,-27.0,0.0000,0
SmolVLA,LIBERO Goal,"Depth pruning, 4 layers",100,2,54,-52.0,0.0000,0
SmolVLA,LIBERO Goal,"Guarded reuse, strict",100,12,15,-3.0,0.7011,0
SmolVLA,LIBERO Goal,"Guarded reuse, moderate",100,11,15,-4.0,0.5572,0
SmolVLA,LIBERO Goal,"Guarded reuse, aggressive",100,12,13,-1.0,1.0000,1
SmolVLA,LIBERO Goal,"Temporal fusion, motion-entropy",100,12,15,-3.0,0.7011,0
SmolVLA,LIBERO Goal,"Temporal fusion, task-aware",100,11,17,-6.0,0.3449,0
SmolVLA,LIBERO Goal,"Temporal fusion, conservative-adaptive",100,14,16,-2.0,0.8555,1
UniVLA,LIBERO Goal,"Foveation, keep 20%",100,3,8,-5.0,0.2266,0
UniVLA,LIBERO Goal,"Foveation, keep 50%",100,8,1,+7.0,0.0391,1
UniVLA,LIBERO Goal,"Action repeat, k=2",100,3,61,-58.0,0.0000,1
UniVLA,LIBERO Goal,"Action repeat, k=4",100,0,92,-92.0,0.0000,0
UniVLA,LIBERO Goal,"Depth pruning, 1 layer",100,6,5,+1.0,1.0000,1
UniVLA,LIBERO Goal,"Depth pruning, 2 layers",100,7,10,-3.0,0.6291,0
UniVLA,LIBERO Goal,"Depth pruning, 4 layers",100,6,14,-8.0,0.1153,0
UniVLA,LIBERO Goal,"Guarded reuse, strict",100,1,0,+1.0,1.0000,1
UniVLA,LIBERO Goal,"Guarded reuse, moderate",100,1,0,+1.0,1.0000,0
UniVLA,LIBERO Goal,"Guarded reuse, aggressive",100,0,0,+0.0,1.0000,0
UniVLA,LIBERO Goal,"Temporal fusion, motion-entropy",100,7,4,+3.0,0.5488,1
UniVLA,LIBERO Goal,"Temporal fusion, task-aware",100,6,5,+1.0,1.0000,0
UniVLA,LIBERO Goal,"Temporal fusion, conservative-adaptive",100,0,0,+0.0,1.0000,0
OpenVLA,LIBERO Object,"Foveation, keep 20%",100,8,21,-13.0,0.0241,0
OpenVLA,LIBERO Object,"Foveation, keep 50%",100,10,11,-1.0,1.0000,1
OpenVLA,LIBERO Object,"Action repeat, k=2",100,10,13,-3.0,0.6776,1
OpenVLA,LIBERO Object,"Action repeat, k=4",100,6,34,-28.0,0.0000,0
OpenVLA,LIBERO Object,"Depth pruning, 1 layer",100,10,12,-2.0,0.8318,1
OpenVLA,LIBERO Object,"Depth pruning, 2 layers",100,8,16,-8.0,0.1516,0
OpenVLA,LIBERO Object,"Depth pruning, 4 layers",100,7,29,-22.0,0.0003,0
OpenVLA,LIBERO Object,"Guarded reuse, strict",100,4,6,-2.0,0.7539,1
OpenVLA,LIBERO Object,"Guarded reuse, moderate",100,4,11,-7.0,0.1185,0
OpenVLA,LIBERO Object,"Guarded reuse, aggressive",100,6,8,-2.0,0.7905,0
OpenVLA,LIBERO Object,"Temporal fusion, motion-entropy",100,7,11,-4.0,0.4807,0
OpenVLA,LIBERO Object,"Temporal fusion, task-aware",100,9,10,-1.0,1.0000,1
OpenVLA,LIBERO Object,"Temporal fusion, conservative-adaptive",100,2,7,-5.0,0.1797,0
SmolVLA,LIBERO Object,"Foveation, keep 20%",100,5,25,-20.0,0.0003,0
SmolVLA,LIBERO Object,"Foveation, keep 50%",100,2,15,-13.0,0.0023,1
SmolVLA,LIBERO Object,"Action repeat, k=2",100,5,9,-4.0,0.4240,1
SmolVLA,LIBERO Object,"Action repeat, k=4",100,1,24,-23.0,0.0000,0
SmolVLA,LIBERO Object,"Depth pruning, 1 layer",100,4,25,-21.0,0.0001,1
SmolVLA,LIBERO Object,"Depth pruning, 2 layers",100,2,56,-54.0,0.0000,0
SmolVLA,LIBERO Object,"Depth pruning, 4 layers",100,0,81,-81.0,0.0000,0
SmolVLA,LIBERO Object,"Guarded reuse, strict",100,4,9,-5.0,0.2668,0
SmolVLA,LIBERO Object,"Guarded reuse, moderate",100,4,9,-5.0,0.2668,0
SmolVLA,LIBERO Object,"Guarded reuse, aggressive",100,5,9,-4.0,0.4240,1
SmolVLA,LIBERO Object,"Temporal fusion, motion-entropy",100,5,9,-4.0,0.4240,0
SmolVLA,LIBERO Object,"Temporal fusion, task-aware",100,5,9,-4.0,0.4240,1
SmolVLA,LIBERO Object,"Temporal fusion, conservative-adaptive",100,5,13,-8.0,0.0963,0
UniVLA,LIBERO Object,"Foveation, keep 20%",100,4,0,+4.0,0.1250,1
UniVLA,LIBERO Object,"Foveation, keep 50%",100,3,2,+1.0,1.0000,0
UniVLA,LIBERO Object,"Action repeat, k=2",100,1,76,-75.0,0.0000,1
UniVLA,LIBERO Object,"Action repeat, k=4",100,0,95,-95.0,0.0000,0
UniVLA,LIBERO Object,"Depth pruning, 1 layer",100,4,1,+3.0,0.3750,1
UniVLA,LIBERO Object,"Depth pruning, 2 layers",100,4,6,-2.0,0.7539,0
UniVLA,LIBERO Object,"Depth pruning, 4 layers",100,4,8,-4.0,0.3877,0
UniVLA,LIBERO Object,"Guarded reuse, strict",100,0,0,+0.0,1.0000,1
UniVLA,LIBERO Object,"Guarded reuse, moderate",100,0,0,+0.0,1.0000,0
UniVLA,LIBERO Object,"Guarded reuse, aggressive",100,0,0,+0.0,1.0000,0
UniVLA,LIBERO Object,"Temporal fusion, motion-entropy",100,3,1,+2.0,0.6250,1
UniVLA,LIBERO Object,"Temporal fusion, task-aware",100,3,2,+1.0,1.0000,0
UniVLA,LIBERO Object,"Temporal fusion, conservative-adaptive",100,0,0,+0.0,1.0000,0
OpenVLA,LIBERO Spatial,"Foveation, keep 20%",100,9,32,-23.0,0.0004,0
OpenVLA,LIBERO Spatial,"Foveation, keep 50%",100,14,9,+5.0,0.4049,1
OpenVLA,LIBERO Spatial,"Action repeat, k=2",100,8,14,-6.0,0.2863,1
OpenVLA,LIBERO Spatial,"Action repeat, k=4",100,7,38,-31.0,0.0000,0
OpenVLA,LIBERO Spatial,"Depth pruning, 1 layer",100,10,26,-16.0,0.0113,1
OpenVLA,LIBERO Spatial,"Depth pruning, 2 layers",100,9,31,-22.0,0.0007,0
OpenVLA,LIBERO Spatial,"Depth pruning, 4 layers",100,7,37,-30.0,0.0000,0
OpenVLA,LIBERO Spatial,"Guarded reuse, strict",100,5,1,+4.0,0.2188,1
OpenVLA,LIBERO Spatial,"Guarded reuse, moderate",100,6,8,-2.0,0.7905,0
OpenVLA,LIBERO Spatial,"Guarded reuse, aggressive",100,10,11,-1.0,1.0000,0
OpenVLA,LIBERO Spatial,"Temporal fusion, motion-entropy",100,12,5,+7.0,0.1435,1
OpenVLA,LIBERO Spatial,"Temporal fusion, task-aware",100,12,13,-1.0,1.0000,0
OpenVLA,LIBERO Spatial,"Temporal fusion, conservative-adaptive",100,5,4,+1.0,1.0000,0
SmolVLA,LIBERO Spatial,"Foveation, keep 20%",100,13,26,-13.0,0.0533,0
SmolVLA,LIBERO Spatial,"Foveation, keep 50%",100,12,12,+0.0,1.0000,1
SmolVLA,LIBERO Spatial,"Action repeat, k=2",100,13,25,-12.0,0.0730,1
SmolVLA,LIBERO Spatial,"Action repeat, k=4",100,7,48,-41.0,0.0000,0
SmolVLA,LIBERO Spatial,"Depth pruning, 1 layer",100,12,26,-14.0,0.0336,1
SmolVLA,LIBERO Spatial,"Depth pruning, 2 layers",100,10,48,-38.0,0.0000,0
SmolVLA,LIBERO Spatial,"Depth pruning, 4 layers",100,6,53,-47.0,0.0000,0
SmolVLA,LIBERO Spatial,"Guarded reuse, strict",100,12,10,+2.0,0.8318,1
SmolVLA,LIBERO Spatial,"Guarded reuse, moderate",100,13,11,+2.0,0.8388,0
SmolVLA,LIBERO Spatial,"Guarded reuse, aggressive",100,13,13,+0.0,1.0000,0
SmolVLA,LIBERO Spatial,"Temporal fusion, motion-entropy",100,12,7,+5.0,0.3593,0
